outrun|(1, [138622])
depose|(10, [41347, 41459, 41704, 41934, 42279, 42483, 42715, 42798, 42973, 55126])
shout|(11, [35848, 93605, 122884, 207064, 207542, 210804, 237803, 271449, 271670, 278316, 336540])
chiefly|(11, [35964, 47064, 62020, 63622, 67162, 114209, 180829, 194871, 218823, 222115, 263800])
snow|(1, [225331])
expedite|(1, [303058])
underline|(1, [136573])
wipe|(3, [18015, 27457, 265597])
nebber|(1, [23496])
revolt|(2, [67197, 187014])
wander|(7, [2225, 135400, 158874, 173574, 240749, 251228, 303107])
demon|(1, [249692])
scan|(2, [116864, 293351])
prefix|(1, [294302])
ensure|(1, [152615])
deter|(7, [8938, 69447, 130373, 197669, 216912, 236412, 268304])
carriages|(1, [204626])
behold|(67, [8055, 8139, 12340, 14128, 15332, 16155, 17342, 35640, 35834, 36594, 43735, 78636, 82116, 91364, 91978, 95507, 100402, 113414, 115292, 120600, 121232, 124057, 131615, 132108, 133334, 133392, 134599, 136215, 137437, 138438, 142975, 150863, 150911, 171997, 172097, 189864, 190862, 201745, 207662, 207703, 209296, 210128, 212751, 219039, 228224, 246594, 247829, 254011, 258887, 259412, 259756, 269182, 270779, 271812, 276719, 297767, 306650, 323975, 334019, 334512, 335361, 342491, 342776, 342807, 347218, 360863, 361256])
overhang|(4, [154019, 233664, 256715, 256842])
curl|(4, [82416, 226201, 258544, 304516])
detect|(23, [2564, 12887, 18631, 18861, 33459, 47193, 76940, 77447, 84265, 84424, 114988, 126006, 146129, 146532, 151748, 169293, 186370, 241127, 246503, 250828, 343563, 350358, 350366])
dishearten|(1, [152750])
bloodshed|(1, [193779])
unchoked|(1, [77920])
bestow|(15, [1572, 24376, 38523, 46860, 83583, 92084, 144990, 150115, 152353, 248249, 265352, 294591, 342041, 344209, 348756])
muffle|(7, [115650, 122300, 134380, 165789, 166431, 169134, 327186])
envelop|(29, [1131, 12293, 25910, 78258, 81278, 95652, 99373, 100564, 104736, 142244, 142366, 152700, 155144, 168705, 168901, 169659, 180283, 187633, 208210, 234175, 267785, 268459, 274910, 284958, 294384, 298571, 307581, 327203, 358256])
