outrun|(1, [138622])
lay|(174, [2807, 2839, 5257, 5710, 7840, 8939, 9066, 9459, 13387, 14143, 15830, 16080, 25775, 28270, 28445, 40949, 41221, 44103, 45612, 50693, 50796, 50891, 52269, 53994, 56029, 66480, 78623, 79554, 79987, 81132, 88213, 95561, 98419, 98894, 100257, 110227, 111943, 116200, 117340, 117624, 118971, 123550, 123633, 123724, 123836, 124221, 124868, 127594, 128067, 128425, 128483, 132409, 133629, 134089, 135541, 136562, 138815, 138943, 139610, 139888, 140815, 141133, 141579, 142478, 142622, 142821, 147200, 148397, 149220, 155109, 155812, 156276, 157048, 157186, 157873, 158467, 160887, 161070, 162815, 168111, 172709, 172998, 173402, 173600, 175522, 177138, 182741, 182805, 182833, 182966, 183595, 185640, 186466, 186905, 189675, 191523, 192830, 192989, 198006, 199322, 199742, 200464, 202193, 202302, 202957, 203032, 203731, 203781, 204048, 204085, 204269, 204301, 204438, 206692, 207509, 208647, 213091, 214931, 215681, 219160, 224840, 225135, 226557, 229897, 231819, 233087, 234871, 235690, 235888, 236003, 236085, 242386, 243922, 243963, 246765, 246989, 250298, 251781, 252859, 254067, 257113, 268016, 268634, 268723, 270113, 270145, 270234, 271855, 277613, 281554, 304762, 305986, 306093, 307398, 315096, 317528, 318719, 318746, 322976, 327029, 327273, 327551, 329034, 331395, 332915, 334186, 336462, 339518, 341097, 342409, 347707, 357485, 358283, 360930])
front|(4, [122046, 134371, 153805, 206693])
reconnoiter|(1, [194193])
bless|(10, [23338, 108142, 174458, 204232, 217647, 248195, 261632, 281854, 311667, 353934])
fair|(1, [276327])
eh|(11, [22517, 85140, 281130, 289649, 289672, 289816, 289823, 290058, 295187, 298103, 336264])
disfigure|(4, [101026, 140734, 257130, 258621])
rush|(48, [4474, 16277, 22401, 40817, 57542, 77614, 78208, 85436, 88815, 100153, 119476, 122308, 122876, 126241, 126414, 133230, 138745, 141486, 141712, 143370, 143443, 143785, 147082, 165755, 177045, 207443, 212326, 230289, 235875, 237769, 238029, 241267, 242291, 244324, 250153, 250702, 251727, 251892, 255590, 256798, 269013, 272013, 272564, 280815, 291470, 303897, 328300, 358544])
uplifting|(1, [114652])
fatigue|(2, [27032, 179066])
unsheathing|(1, [128612])
arnheim|(1, [153285])
scarlet|(1, [124842])
whip|(3, [292945, 299886, 344898])
stowage|(1, [194604])
console|(7, [184683, 190649, 205606, 261033, 261596, 311265, 335804])
moshe|(1, [262169])
dull|(1, [167805])
altogether|(2, [51273, 84001])
sympathize|(3, [262224, 293903, 332225])
molest|(1, [221165])
influence|(9, [9221, 58541, 64822, 109807, 110283, 111679, 187762, 345623, 351023])
accomplish|(58, [5142, 5151, 5400, 5408, 6168, 9793, 10471, 10832, 11022, 12561, 17457, 25841, 26843, 46460, 47057, 47087, 50709, 63877, 63883, 66877, 71782, 71800, 72875, 72911, 76328, 76602, 94690, 108884, 110113, 113539, 114737, 141873, 145180, 152201, 152742, 179088, 179755, 186819, 194547, 194668, 197915, 198579, 199117, 203019, 206594, 211640, 213336, 235409, 241359, 257502, 272155, 289213, 297975, 301709, 310626, 315119, 344040, 345510])
unriddles|(1, [320372])
suck|(1, [93105])
jag|(1, [19234])
offer|(57, [2750, 33710, 52736, 52851, 52925, 56780, 57113, 69058, 79019, 79266, 84568, 85000, 93286, 101295, 102000, 102098, 112513, 113021, 113824, 127962, 150767, 154278, 159037, 166466, 174408, 179640, 196364, 197889, 198413, 200163, 204401, 209386, 217145, 231096, 232860, 237329, 238313, 241633, 244665, 261915, 264338, 270439, 283835, 291414, 302846, 308159, 309245, 309319, 309537, 310805, 312710, 316337, 318817, 324215, 340905, 342669, 356912])
board|(2, [55118, 208102])
deprive|(16, [3386, 5542, 12111, 15777, 31560, 35404, 58711, 65889, 81947, 90265, 95012, 114051, 142575, 244925, 263742, 356763])
cook|(2, [196041, 220037])
attend|(67, [1536, 5621, 5857, 5996, 7591, 9252, 9409, 11110, 11535, 12057, 16934, 25958, 34420, 35990, 46106, 55072, 55298, 55344, 55382, 56879, 71226, 78310, 80604, 82463, 112425, 139861, 144669, 160618, 167129, 179899, 187103, 195015, 211823, 224958, 228818, 243809, 246244, 254484, 254966, 257814, 258355, 259575, 260489, 262490, 263447, 266707, 275448, 275609, 275836, 276085, 277054, 280624, 282412, 283935, 290559, 294787, 301650, 303136, 303844, 312095, 316772, 329408, 333644, 334243, 334632, 337297, 353235])
pine|(1, [136666])
increase|(59, [6824, 7643, 11470, 13380, 13658, 13909, 15385, 16862, 20149, 20196, 31702, 33382, 34629, 52793, 54299, 58957, 72740, 74899, 75123, 90945, 95914, 104499, 104925, 108666, 114107, 114570, 121733, 127772, 141213, 143457, 143561, 153413, 164946, 168914, 168963, 169635, 169680, 169698, 169730, 169764, 176457, 176995, 187058, 198084, 212150, 219020, 225326, 243284, 244027, 244260, 272864, 282779, 295579, 295825, 296259, 296658, 308154, 326696, 328378])
clew|(1, [268089])
devolve|(1, [208771])
daunt|(1, [268976])
co-exist|(1, [320063])
better|(2, [142404, 163427])
was|(6, [7635, 119352, 136224, 137804, 246174, 333540])
ubi|(1, [137775])
grumble|(1, [337032])
head|(14, [19467, 23270, 23480, 26466, 98209, 192769, 197353, 210691, 227517, 257617, 298679, 312538, 312560, 327679])
could|(3, [60863, 253274, 326196])
please|(33, [1715, 4342, 7812, 9191, 9808, 9936, 17402, 17773, 35918, 87236, 90639, 103250, 129842, 132993, 151894, 165912, 196562, 264403, 271155, 271234, 272429, 274461, 278960, 280120, 288285, 289855, 302349, 302449, 312373, 333033, 335653, 336176, 343710])
thrill|(12, [51580, 80335, 143214, 143880, 160426, 165849, 206768, 253398, 259060, 334387, 357221, 357633])
ebery|(1, [23509])
warn|(4, [39391, 83625, 177467, 235741])
starboard|(3, [100150, 195620, 204029])
letting|(1, [46960])
sacrifice|(9, [131513, 192258, 195952, 199287, 230782, 264771, 265388, 306723, 323344])
distort|(3, [8642, 284621, 360953])
gendering|(1, [232239])
memory|(5, [88632, 164133, 183232, 247069, 330148])
manumit|(1, [21683])
fluctuate|(1, [105849])
note|(12, [38195, 38527, 54275, 63159, 112123, 116429, 173071, 173967, 244378, 261844, 301774, 313131])
precipitate|(16, [25308, 70025, 93091, 97074, 101542, 142146, 149527, 183050, 235159, 240955, 250971, 255465, 304475, 316263, 331328, 341444])
deign|(1, [77535])
pluck|(1, [315087])
convert|(7, [51034, 94298, 132988, 259208, 288809, 307659, 309432])
fire|(10, [54734, 58169, 59290, 75237, 88892, 225988, 234903, 234934, 235765, 241328])
inflate|(2, [4190, 73210])
advantage|(1, [130886])
quit|(19, [57613, 64070, 68567, 68955, 73560, 76278, 92023, 92807, 101619, 109469, 154093, 166192, 166252, 166260, 174369, 236800, 261943, 288999, 303078])
condemn|(3, [130592, 139022, 193534])
associate|(1, [307610])
regret|(7, [92038, 108946, 113613, 205591, 217665, 244600, 298710])
enlighten|(3, [292500, 318511, 335931])
conflict|(4, [60978, 121987, 135460, 222574])
misanthropic|(1, [152834])
disregard|(4, [64620, 125278, 260572, 356189])
restrain|(18, [28218, 106332, 112547, 115473, 120977, 129875, 189782, 190848, 210412, 210979, 213519, 263145, 264469, 282699, 283189, 291199, 296905, 323367])
trick|(1, [212420])
break|(79, [25651, 26335, 28868, 29108, 39709, 40788, 40921, 42679, 46438, 50304, 51065, 53289, 56073, 65112, 66617, 78578, 79963, 89990, 90196, 90315, 94886, 95160, 109218, 111771, 115652, 118126, 122196, 127820, 133678, 138279, 142053, 143155, 144199, 150220, 154269, 160441, 164819, 167390, 168209, 175924, 178135, 197216, 199898, 202703, 202899, 203948, 204032, 204089, 204461, 204735, 205768, 206347, 207608, 208952, 214230, 223528, 228055, 235061, 238423, 239358, 239688, 242900, 261830, 264876, 288121, 289407, 289523, 291015, 291154, 291434, 310313, 316138, 317352, 327882, 330538, 331970, 335137, 342151, 357219])
hath|(1, [21291])
induce|(43, [2467, 6214, 19275, 21695, 25123, 59149, 87598, 90063, 108367, 109649, 109833, 110377, 111184, 139597, 152829, 165322, 167057, 170970, 178314, 188955, 189381, 189466, 190109, 193496, 197466, 205589, 206605, 208424, 210860, 219439, 222577, 222966, 226816, 243883, 254661, 254765, 257481, 266722, 326386, 340165, 343099, 347730, 356307])
jest|(4, [29414, 127931, 272288, 290181])
authenticate|(1, [103488])
betroth|(6, [53576, 56642, 246160, 264856, 273557, 316463])
endow|(7, [94040, 182753, 260010, 263816, 303628, 333905, 342039])
sift|(2, [69628, 297644])
interest|(5, [55766, 171053, 327107, 329534, 333946])
cover|(35, [3523, 10502, 16177, 21515, 72757, 91132, 98193, 110775, 113785, 114140, 154727, 156523, 160857, 167339, 180671, 181294, 186448, 190079, 192117, 193111, 195128, 199606, 217346, 219548, 221481, 225304, 227094, 229747, 230024, 239211, 275525, 322689, 347058, 348385, 350291])
blot|(5, [92758, 94627, 107946, 136606, 175133])
seaweed|(1, [210942])
munch|(1, [315440])
gap|(1, [272512])
wait|(26, [22549, 63594, 78211, 86055, 98770, 109641, 117053, 121543, 142502, 168737, 180217, 182567, 186113, 198558, 211923, 227324, 231183, 235989, 236536, 264925, 272344, 280644, 323726, 325022, 338012, 339088])
encroach|(1, [146149])
loud|(1, [44746])
excuse|(1, [285885])
ambitus|(1, [86879])
address|(25, [1604, 44734, 83309, 88358, 91681, 108447, 111224, 111317, 129892, 198490, 199830, 215994, 230481, 230801, 260485, 267546, 287808, 287861, 288346, 289013, 289616, 302501, 308499, 311577, 333050])
reverberate|(1, [121636])
eighteen|(1, [232178])
waste|(5, [73275, 118448, 132872, 133513, 212361])
shin|(13, [9567, 93551, 95281, 96192, 121823, 173613, 177919, 178067, 182693, 239096, 247010, 316392, 354042])
effect|(35, [46931, 47274, 53937, 64559, 66862, 74720, 85982, 101592, 145702, 150343, 165276, 165620, 170610, 193135, 198541, 198810, 200126, 206488, 213378, 221529, 226372, 229364, 235348, 235397, 235723, 268125, 286229, 290720, 299067, 333313, 338788, 348560, 349029, 349213, 350108])
palmetto|(1, [21487])
shun|(2, [249666, 252060])
knxw|(1, [281373])
corroborated|(2, [42113, 43256])
bending|(1, [122377])
adhere|(1, [299195])
crown|(6, [37026, 92976, 157591, 202556, 221093, 340898])
salute|(2, [75246, 294454])
mid|(1, [314998])
fast|(2, [53989, 68490])
bobbing|(1, [271765])
slake|(2, [65766, 236832])
gleam|(16, [28446, 28866, 50519, 96159, 126480, 127397, 133970, 135043, 143244, 153430, 157049, 159158, 182922, 253319, 264355, 283059])
task|(3, [37947, 38241, 52685])
wretch|(1, [265872])
instil|(1, [21738])
circulate|(2, [54364, 205045])
emaciate|(4, [210103, 215773, 246308, 254221])
smelt|(1, [304151])
overthrow|(3, [55976, 94223, 317560])
adjust|(13, [9917, 10504, 60767, 180915, 186402, 260173, 265533, 265606, 305079, 330556, 331588, 337055, 357705])
sixth|(1, [254777])
ricochet|(1, [236322])
love|(29, [81872, 82106, 113103, 131559, 131673, 131717, 136659, 152699, 159244, 167876, 171555, 171702, 173341, 173584, 183283, 248121, 249669, 253195, 253610, 260857, 260946, 263190, 264521, 273011, 273026, 298048, 320236, 355409, 356258])
flood|(1, [271936])
patronise|(1, [269595])
vat|(1, [265840])
adapt|(33, [3603, 7158, 10670, 30454, 32784, 43514, 72226, 76436, 85639, 86432, 87330, 107334, 107500, 111022, 114900, 131865, 146193, 151507, 151726, 158425, 179361, 233444, 242727, 246101, 262616, 264683, 267188, 267521, 303126, 310830, 343541, 348989, 350793])
flying|(1, [71646])
displease|(3, [81338, 129835, 285742])
shore|(3, [71864, 76518, 77469])
expatiate|(4, [150720, 298812, 332530, 342603])
tolerate|(1, [234235])
simple|(1, [80179])
desolate|(1, [95540])
drawing|(1, [5176])
prosecute|(5, [228509, 231774, 293864, 293986, 334918])
forsake|(1, [175409])
pasquinaded|(1, [39900])
guineas|(1, [300844])
cheer|(5, [118637, 204226, 208046, 208891, 327906])
tranquilize|(1, [184626])
elbow|(3, [55545, 61318, 258781])
goad|(3, [91875, 150607, 342477])
aware|(1, [263009])
modern|(1, [320001])
undo|(4, [10157, 168138, 168157, 240315])
precise|(2, [129849, 191145])
tat|(1, [317293])
unoccupied|(1, [220617])
recall|(18, [42481, 42869, 135120, 138347, 138399, 138803, 145580, 151717, 151971, 163143, 208475, 212372, 246227, 247067, 271395, 333411, 343532, 343789])
act|(26, [72837, 89064, 102412, 103282, 116180, 129497, 129531, 163371, 194213, 199500, 200285, 200510, 200702, 202178, 208140, 252207, 261820, 297310, 318851, 319787, 345271, 347592, 347624, 353764, 353805, 355331])
wits|(1, [347554])
move|(69, [34091, 40382, 41548, 49437, 51070, 72308, 76273, 81676, 87788, 91280, 91560, 91567, 93193, 93219, 101399, 101493, 110417, 119316, 119453, 120279, 131861, 134261, 138754, 139161, 139200, 148211, 148331, 148508, 164545, 168074, 168351, 168455, 183879, 185155, 185194, 188177, 204873, 204982, 205007, 205057, 205185, 205701, 207785, 211498, 220061, 227335, 249563, 251550, 269721, 346482, 347829, 347949, 347994, 348229, 348877, 349842, 350265, 350377, 350447, 350456, 350860, 350958, 351871, 351896, 353531, 353550, 353693, 354463, 361201])
obstruct|(1, [155449])
tout|(1, [172305])
fight|(5, [201976, 256653, 256814, 302307, 302658])
thread|(3, [153739, 238920, 241227])
foreshorten|(1, [14199])
welcome|(3, [85152, 120997, 169425])
persist|(11, [61131, 129636, 129645, 145321, 196412, 210922, 216412, 256937, 280175, 299156, 319830])
evaporate|(3, [73626, 176821, 209532])
mould|(2, [117563, 119725])
foam|(1, [169735])
await|(27, [17943, 21916, 24208, 31879, 44576, 44594, 64834, 78855, 90850, 93608, 128832, 139058, 139325, 140196, 141449, 144482, 181862, 188948, 212508, 214657, 235708, 261990, 279879, 294269, 298620, 336605, 359216])
lavish|(4, [149710, 294514, 341184, 341625])
toiling|(1, [238459])
les|(3, [20062, 44196, 157806])
count|(15, [25966, 38510, 76514, 94340, 139567, 139675, 139687, 140505, 141484, 142655, 166135, 277064, 293357, 324399, 324406])
jeopardize|(1, [113141])
flay|(1, [331811])
mesmerize|(5, [105001, 105592, 108637, 109759, 109779])
absolve|(2, [90300, 175446])
abolish|(1, [332563])
test|(7, [59239, 72972, 74680, 108718, 112268, 145839, 256450])
unite|(8, [20204, 42966, 152768, 200558, 299077, 320977, 324618, 326388])
getting|(3, [46214, 85174, 183387])
remain|(192, [3008, 3549, 4690, 4988, 5114, 8468, 10456, 11717, 17459, 23038, 24614, 28560, 31492, 31807, 33204, 35454, 38925, 40859, 41041, 46529, 47319, 51852, 53139, 53604, 56370, 58368, 58656, 58889, 63991, 65321, 65654, 66010, 66399, 67442, 70262, 71229, 73881, 74671, 76791, 81457, 81737, 82235, 82982, 85318, 94988, 97549, 97635, 102882, 102920, 104428, 105571, 108629, 110163, 110186, 110628, 111234, 111417, 111533, 111752, 111798, 112789, 115734, 122687, 123944, 128713, 128906, 130196, 132839, 138228, 138839, 139600, 142599, 142664, 144649, 144960, 146506, 146758, 146920, 147202, 148201, 150584, 151249, 152884, 153670, 154504, 155855, 158845, 171857, 175708, 177129, 180581, 181559, 182433, 183762, 183995, 184345, 185401, 186299, 186439, 186725, 187024, 187277, 189624, 194127, 194183, 194411, 201827, 201946, 202152, 204667, 206219, 206501, 208446, 209729, 212625, 212971, 213197, 215261, 215549, 217604, 220654, 221208, 221772, 222233, 222874, 224536, 224811, 225364, 225437, 227807, 228264, 228294, 228767, 233066, 233932, 234908, 235176, 235300, 235814, 236033, 237221, 237396, 238052, 240793, 240975, 241417, 244412, 245463, 250760, 251553, 253635, 256996, 259892, 263567, 263737, 267086, 267777, 268083, 271100, 279683, 294945, 295004, 299073, 304271, 304366, 304382, 304534, 306445, 306736, 308455, 313697, 325746, 327064, 327822, 327969, 328474, 328623, 329584, 330568, 331376, 336430, 338976, 342455, 343176, 345213, 345857, 346445, 348282, 351427, 357993, 360832, 361214])
jog|(1, [338953])
sigh|(11, [123016, 123062, 123228, 123956, 131699, 174524, 174659, 240834, 278280, 304552, 304555])
confront|(9, [126473, 131127, 154073, 251758, 260565, 260638, 265726, 308401, 314463])
superfluous|(1, [74125])
shrew|(1, [329097])
poisoned|(1, [137681])
superinduced|(3, [64717, 146905, 170602])
interstriped|(1, [159645])
begirdled|(1, [91101])
stamp|(3, [210740, 291462, 340672])
flash|(19, [28460, 50961, 79674, 99070, 123928, 127837, 133761, 137748, 140061, 140494, 142396, 176638, 176898, 185957, 187260, 189044, 207879, 213009, 246141])
remand|(2, [139052, 331084])
behoove|(1, [28640])
besmear|(1, [40953])
advocate|(1, [258117])
gravitate|(1, [20787])
appertain|(9, [31163, 33193, 173284, 269844, 270258, 286300, 307061, 309288, 343918])
fail|(96, [776, 1564, 4510, 5465, 6243, 6412, 12325, 14570, 24762, 29849, 30465, 40595, 43563, 45905, 46843, 49251, 51338, 51976, 54315, 57908, 59957, 62031, 62351, 69596, 69781, 70858, 84422, 86140, 86550, 87040, 87047, 87362, 87375, 87387, 88613, 97587, 103929, 104400, 111264, 111690, 111815, 117345, 118692, 124833, 126732, 129007, 130455, 131506, 132144, 133129, 133343, 135127, 137602, 139548, 141416, 144641, 146563, 149812, 152244, 162442, 164613, 166916, 171464, 178922, 183011, 184169, 186311, 187848, 193578, 194385, 204992, 236400, 247338, 247464, 250005, 254773, 256388, 261009, 268680, 291751, 295648, 297085, 298370, 298810, 303436, 307427, 316917, 320454, 329169, 333145, 340045, 341731, 342660, 344083, 347856, 351539])
premature|(1, [144245])
hang|(52, [4623, 5359, 8786, 55638, 74019, 81151, 85145, 90040, 92651, 100289, 100570, 113075, 113095, 113120, 113446, 116804, 116897, 117322, 121118, 121819, 124800, 126158, 127771, 134064, 149264, 156079, 159935, 164374, 166393, 177748, 180823, 192525, 193115, 195925, 200218, 216659, 229683, 248870, 255272, 268811, 269700, 269858, 276737, 289039, 300825, 301052, 308688, 323799, 331640, 358600, 358759, 360786])
remonstrate|(1, [209263])
mein|(3, [277286, 277303, 277324])
instal|(1, [180133])
enumerate|(1, [3566])
king|(4, [36944, 36949, 90607, 271817])
ero|(1, [281878])
rally|(1, [256812])
thrice|(1, [160607])
desert|(4, [39173, 62036, 133632, 329253])
compassioning|(1, [332317])
comprise|(2, [161131, 220259])
redivert|(1, [65261])
uppermost|(1, [83273])
exploit|(1, [36412])
anchor|(4, [219311, 222201, 227227, 228701])
go|(447, [818, 2791, 9872, 11455, 11465, 12460, 13944, 21884, 23261, 23333, 23525, 24106, 24415, 24607, 24671, 24722, 25057, 25538, 25560, 25860, 25926, 25997, 26185, 26375, 26714, 26850, 27480, 27706, 27743, 29924, 30143, 30258, 32806, 33565, 33647, 34462, 34643, 35111, 36140, 36368, 36449, 42264, 43867, 44007, 44078, 44136, 44714, 46524, 46961, 47238, 47372, 47582, 48071, 50090, 52229, 53087, 53476, 53573, 54458, 55042, 55069, 55079, 55454, 55513, 55780, 55791, 55847, 57891, 58126, 61956, 61975, 63438, 68390, 74417, 75325, 76228, 76446, 77127, 77483, 77497, 77552, 77651, 77851, 78187, 78928, 79208, 80978, 82008, 85460, 88252, 88918, 88927, 89516, 89526, 90171, 90536, 90841, 92098, 92352, 92424, 92459, 94842, 97381, 97576, 97722, 97916, 98309, 98329, 98751, 99080, 99154, 99694, 99939, 99996, 100097, 100621, 100891, 101317, 101751, 102242, 102286, 102684, 103156, 103356, 103951, 104298, 104313, 104561, 109516, 110218, 110728, 112255, 112429, 112824, 113608, 113857, 115069, 115564, 116372, 119315, 120531, 123335, 123664, 125675, 125891, 126029, 126606, 127118, 127176, 127480, 127508, 127795, 127817, 128846, 128858, 130790, 133301, 138185, 139463, 141877, 144673, 147690, 149045, 157028, 164609, 164761, 167409, 167996, 168212, 169347, 169561, 169702, 170580, 172370, 175702, 175773, 175818, 175905, 175906, 175974, 176075, 176353, 176359, 176420, 176598, 176613, 176642, 176672, 176920, 176957, 177051, 177793, 177977, 178274, 178557, 178562, 178704, 179620, 179673, 179729, 180207, 180593, 181251, 181738, 181744, 181817, 181826, 182100, 182409, 182500, 185724, 186481, 187942, 187963, 187972, 188478, 188632, 188670, 189089, 189222, 189798, 190144, 190357, 190482, 190740, 191551, 191700, 191713, 192635, 192973, 194190, 195071, 195456, 195638, 196042, 196057, 196245, 196496, 196529, 196556, 196797, 196839, 197099, 197256, 197413, 197524, 197712, 197831, 197904, 198329, 199691, 199772, 199932, 199991, 200278, 200293, 200780, 200832, 200966, 201293, 202647, 203029, 203087, 203244, 203282, 203593, 203892, 204167, 204782, 205741, 206058, 206105, 206931, 208024, 208080, 208092, 208749, 208978, 209126, 209205, 209444, 209666, 210187, 210938, 211017, 212356, 213151, 213388, 213582, 214640, 214769, 216728, 216738, 219683, 220819, 220932, 222341, 222777, 223640, 224100, 225354, 225492, 228209, 229522, 230065, 231650, 232272, 233009, 233581, 233654, 233785, 234985, 236978, 237039, 237773, 237810, 238060, 238304, 238725, 240356, 240775, 242169, 242398, 242999, 245460, 248405, 256549, 261899, 262672, 262754, 264173, 264967, 265941, 266227, 271605, 272225, 272347, 273745, 273794, 273833, 273848, 273853, 273863, 274170, 274278, 274293, 277702, 279002, 280390, 280403, 280467, 280488, 280499, 280501, 280509, 280525, 280604, 280927, 280958, 280996, 281088, 281098, 281107, 281341, 282755, 285495, 286598, 288155, 288208, 288507, 291517, 297271, 297577, 298250, 298431, 300099, 300504, 300633, 300775, 301050, 301530, 301962, 304022, 308729, 309579, 310340, 310638, 310793, 311167, 311874, 317367, 317379, 317846, 318097, 318174, 318284, 318943, 319554, 319875, 320322, 320835, 322574, 324525, 325064, 325178, 325726, 327076, 327654, 327733, 327862, 329445, 332364, 334099, 335540, 335743, 335744, 335747, 335778, 335785, 336178, 336347, 336806, 336856, 337028, 337037, 337566, 337628, 337914, 338025, 339218, 339283, 339473, 340489, 340500, 340526, 344807, 346749, 347098, 347648, 349288, 349376, 350237, 353239, 355928, 359637, 359717, 360424])
bolt|(4, [41764, 180754, 331127, 331452])
hem|(5, [66911, 143037, 194081, 223926, 224987])
adore|(4, [35733, 35795, 253411, 359354])
inculpate|(1, [69683])
terrify|(7, [14993, 16776, 93479, 112041, 120626, 137490, 142629])
unperceived|(1, [78950])
aim|(3, [114674, 150079, 342004])
clasp|(2, [143599, 259165])
preponderate|(1, [58702])
hearken|(7, [125106, 128516, 128876, 140004, 168490, 248102, 319031])
manner|(1, [338821])
curve|(2, [246617, 357015])
relative|(1, [118297])
glorify|(1, [297099])
bien|(1, [323761])
peruse|(10, [172811, 186544, 290124, 293448, 294339, 296187, 296910, 309179, 313955, 315953])
eddy|(1, [132948])
succumb|(6, [38901, 114552, 118505, 166940, 254802, 356694])
beam|(2, [137112, 137719])
sure|(1, [288540])
pinnacle|(2, [25285, 122911])
embarrass|(6, [68460, 70687, 74273, 87876, 155070, 193545])
pause|(35, [402, 417, 15694, 25213, 39820, 39847, 69351, 69909, 78814, 116058, 121631, 121895, 125097, 127615, 127745, 128566, 134395, 136477, 137558, 138635, 141873, 164844, 186098, 237530, 248998, 251429, 263253, 285554, 294813, 300462, 304077, 304866, 310750, 333106, 354679])
arrive|(78, [435, 2854, 7269, 13083, 13871, 14677, 15888, 17437, 20398, 21925, 24204, 24391, 28808, 32818, 33413, 35224, 37018, 40870, 44540, 44544, 44661, 50685, 56360, 68855, 78228, 88575, 90105, 92493, 92914, 93249, 93360, 106041, 106435, 121459, 127993, 130893, 133662, 139694, 142897, 147969, 147978, 174859, 180177, 180533, 194104, 207130, 222059, 223827, 223954, 224781, 226694, 238546, 239061, 240574, 240929, 241523, 242034, 252602, 259832, 261785, 263483, 264860, 286586, 310802, 311969, 313022, 324797, 325060, 325200, 325451, 327952, 331077, 331539, 344852, 348781, 349000, 357362, 360578])
discovery|(1, [352622])
barricade|(1, [256680])
anticipate|(40, [4771, 5214, 6186, 8825, 12321, 13335, 14892, 15878, 37114, 46072, 59714, 83998, 87377, 87389, 108861, 113921, 122741, 137650, 165392, 180704, 187476, 198133, 199781, 201791, 205883, 208689, 211715, 211932, 214668, 237484, 238330, 240594, 241941, 264041, 274218, 274254, 274266, 274300, 316420, 356441])
mit|(1, [314958])
feeling|(1, [204931])
bruit|(1, [159891])
arising|(1, [2811])
perceive|(172, [592, 4007, 4438, 6414, 8170, 8316, 12252, 13403, 14535, 18853, 20248, 24769, 29569, 32790, 32997, 34126, 34217, 34759, 35221, 35609, 36266, 36602, 36697, 36862, 37061, 40379, 41144, 46831, 48353, 50538, 50838, 59705, 63576, 64692, 75112, 77455, 79626, 83292, 88009, 90869, 91179, 91389, 93040, 93128, 93526, 94881, 95937, 98741, 100723, 105353, 105509, 107362, 107449, 109980, 110367, 112105, 113726, 118415, 118630, 119191, 121135, 121163, 121768, 126784, 127134, 127160, 128093, 129096, 130617, 135588, 142795, 146877, 148541, 150291, 150869, 162656, 162996, 164450, 165480, 165775, 166389, 171231, 176369, 177450, 184888, 185123, 187397, 187488, 200663, 204235, 206697, 206778, 207397, 208172, 209027, 210453, 210832, 210861, 216614, 217852, 219113, 222710, 225946, 228192, 229264, 230312, 235660, 237237, 237294, 237856, 238274, 239311, 240868, 241861, 242005, 245026, 246473, 250156, 256017, 256699, 257405, 257664, 260034, 260144, 264371, 264668, 276455, 279821, 279910, 283125, 285392, 285575, 286278, 296988, 298297, 298440, 301747, 302285, 302297, 304785, 305365, 305822, 306491, 306671, 307214, 307959, 308147, 316087, 316131, 316802, 316904, 316961, 317939, 318110, 318859, 326539, 333821, 334662, 335187, 336625, 336947, 337615, 342203, 342326, 342662, 342782, 345797, 350387, 350727, 354055, 360222, 361016])
stable|(1, [282975])
ere|(3, [141520, 281009, 281114])
dance|(10, [21288, 204567, 206844, 266400, 277412, 286338, 303257, 303420, 305745, 338074])
meeting|(1, [316461])
participate|(2, [163001, 220374])
outstretched|(8, [95562, 137464, 141675, 245120, 291252, 317529, 357486, 360270])
