immoveable|(1, [137950])
last|(157, [9097, 9701, 11014, 11135, 14496, 17193, 25056, 26785, 28618, 29898, 32588, 32636, 32679, 40225, 48860, 49787, 52460, 53430, 73109, 75408, 75516, 75829, 78429, 79464, 82952, 84955, 85948, 87292, 88140, 88304, 92595, 96604, 98232, 102733, 102806, 108582, 108698, 111241, 111503, 111538, 111550, 115503, 116268, 118294, 118317, 118543, 118764, 122039, 125770, 125774, 126612, 127470, 128533, 128707, 128947, 130079, 130988, 136689, 137844, 139661, 142349, 144984, 148167, 148474, 155045, 155081, 163494, 166931, 174252, 175752, 178484, 179949, 182870, 183017, 185039, 185585, 185806, 185907, 186342, 186754, 186827, 187171, 187422, 187784, 189297, 189424, 190324, 191646, 192630, 192672, 203295, 206252, 207105, 207189, 207520, 211101, 211462, 212358, 212605, 212966, 213073, 214281, 214444, 215437, 215609, 215663, 215769, 228530, 232769, 233930, 237038, 240615, 248056, 248671, 258257, 258716, 260037, 261066, 261119, 264530, 265374, 269387, 271871, 272720, 273625, 273726, 291120, 295583, 295829, 296263, 296665, 296766, 302258, 308227, 311728, 317261, 321456, 321524, 322132, 324782, 325623, 325634, 326428, 327823, 329075, 330420, 332356, 337790, 339788, 340816, 351577, 353984, 354848, 356878, 358753, 358773, 360238])
polished|(3, [78737, 157206, 285446])
consistent|(1, [321704])
buckskin|(1, [275631])
murdered|(1, [60024])
unbecoming|(2, [83188, 264550])
national|(2, [131519, 223612])
unclouded|(1, [19075])
bleak-looking|(1, [95631])
horrid|(4, [54647, 121881, 199527, 207850])
magnetic|(8, [108651, 254592, 254735, 254767, 259269, 318444, 318668, 359618])
intended|(2, [55112, 162950])
omnibus|(1, [56524])
placed|(1, [69104])
open-mouthed|(1, [319])
upon|(15, [3796, 38768, 70390, 97536, 105426, 138880, 153642, 161026, 172091, 172429, 178960, 216561, 245827, 253382, 316998])
earthy|(1, [171645])
cum|(4, [28587, 104390, 277282, 277320])
turned|(1, [258892])
peaceable|(1, [121481])
clumsy|(2, [205874, 230417])
musical|(17, [88227, 116496, 117338, 125070, 138116, 138477, 170179, 246038, 252631, 253582, 258788, 263400, 263618, 267002, 285528, 307951, 357178])
bad|(12, [139, 33286, 97753, 102879, 108093, 210224, 219060, 221188, 273928, 308198, 318126, 338721])
mystic|(3, [116850, 119181, 355778])
hard|(27, [21506, 24493, 54141, 56157, 66391, 68299, 92568, 93888, 138834, 148400, 156902, 158163, 160860, 178716, 184565, 185871, 208836, 215101, 219697, 238128, 297662, 298256, 304485, 313103, 315151, 329470, 361311])
utter|(22, [5484, 65940, 78482, 79376, 80342, 116004, 118349, 118832, 141596, 148316, 165605, 167007, 190290, 194112, 201863, 233894, 235904, 248848, 271113, 271163, 315763, 322099])
substantive|(3, [107939, 108203, 129439])
untrodden|(1, [247804])
weekly|(3, [54241, 56108, 348663])
insert|(4, [292999, 293682, 293780, 293767])
agonizing|(2, [146327, 253425])
petty|(3, [69999, 99878, 282581])
sky-blue|(5, [1083, 93691, 278816, 299437, 303779])
astern|(3, [98186, 100098, 190553])
