immoveable|(1, [137950])
foreseen|(3, [98001, 142317, 321262])
altered|(1, [187491])
vapid|(1, [254371])
systematic|(2, [33597, 231358])
progressed|(1, [58948])
successful|(7, [7172, 60459, 75712, 111843, 138751, 162329, 354353])
one-fourth|(1, [271172])
ten|(37, [187, 199, 217, 3205, 10967, 11302, 11441, 12417, 28283, 29101, 52926, 74429, 95864, 103731, 109838, 111390, 156320, 175808, 180777, 213845, 221354, 224558, 227229, 227426, 228728, 229440, 235287, 287211, 305112, 313253, 317252, 317259, 325203, 326700, 330853, 347170, 358585])
old|(206, [1169, 1411, 12138, 16429, 21674, 23088, 23810, 25459, 25670, 27088, 29247, 30298, 33628, 39351, 39591, 41070, 41226, 41365, 41557, 41611, 41699, 42324, 42600, 44431, 44809, 46444, 46707, 47901, 49589, 49645, 50904, 51103, 51900, 53636, 55284, 63760, 68678, 77756, 78332, 79526, 79701, 79818, 79933, 80338, 82490, 86271, 90751, 90776, 95076, 95159, 95782, 95902, 96285, 97256, 97834, 99712, 101227, 101867, 103658, 104091, 104339, 112598, 112848, 114628, 115061, 116957, 119435, 119885, 122760, 123420, 124130, 126870, 128963, 130156, 133639, 133922, 151852, 151913, 160400, 160568, 160949, 163502, 163969, 167878, 167953, 167999, 168090, 168199, 168246, 168434, 168582, 168842, 168910, 168976, 169023, 169072, 169153, 169437, 173610, 174956, 175572, 176210, 179573, 180338, 180440, 188776, 189958, 190979, 192271, 201077, 201433, 207161, 246066, 253765, 254493, 257455, 262541, 262652, 263437, 265887, 266000, 266452, 266842, 266873, 266917, 267176, 267339, 269750, 271466, 272072, 272123, 272239, 272573, 272988, 273009, 273210, 273253, 275451, 275754, 275763, 275961, 276030, 276306, 276409, 276703, 277081, 277198, 277224, 277328, 277390, 278015, 280479, 280485, 280551, 280565, 280598, 281157, 281248, 282291, 282405, 283285, 283630, 285441, 286091, 287732, 288858, 289684, 289710, 289715, 290298, 291349, 292569, 292639, 293656, 293926, 293974, 298092, 298384, 299485, 305515, 307332, 310493, 310756, 314609, 319115, 320355, 325427, 327467, 333058, 336425, 337400, 338037, 338084, 338958, 339000, 339318, 339753, 339963, 343668, 343729, 354825, 355291, 356295, 356313, 356898, 358716])
graphic|(1, [29449])
irresolute|(1, [201894])
ill-contrived|(1, [267478])
goole-bug|(1, [23483])
melancholy|(11, [11687, 115905, 124073, 135445, 147457, 154287, 216314, 252639, 306677, 333780, 357369])
dwelt|(1, [359448])
positive|(35, [89, 2765, 5843, 6702, 7691, 41845, 45206, 67151, 67486, 77072, 108032, 108112, 110861, 118648, 146399, 148106, 152733, 160249, 163325, 170656, 172592, 272678, 273997, 283369, 292082, 296934, 318026, 318872, 334212, 336290, 336387, 337329, 337483, 344524, 351708])
three-gallon|(1, [209920])
spare|(1, [2864])
modern|(16, [35348, 37423, 62656, 81172, 231978, 247594, 253767, 258114, 273511, 278518, 309749, 310776, 319341, 320626, 320899, 344657])
incongruous|(2, [65847, 137472])
grandmother|(1, [266661])
credible|(2, [171304, 296684])
palladian|(1, [133457])
stubborn|(2, [272963, 329020])
dismal|(4, [159927, 161335, 268264, 357297])
lama-lamas|(1, [230833])
click-clak|(1, [305697])
syphon|(1, [23291])
damnable|(2, [112731, 167275])
tired|(2, [176047, 176168])
chrysalis|(2, [152233, 344072])
fat|(14, [58501, 103237, 272007, 275450, 275574, 275914, 276930, 287570, 301459, 331734, 338636, 339554, 339570, 340206])
admired|(1, [247611])
perceptible|(33, [13522, 14949, 18887, 21407, 77427, 100706, 109229, 109830, 117005, 130908, 141614, 146500, 153853, 155387, 157290, 157877, 163023, 167608, 177506, 185477, 186394, 195237, 215814, 234304, 234803, 243292, 246608, 250841, 251272, 260262, 333934, 359243, 359625])
name|(1, [266256])
evening|(3, [40701, 43326, 63118])
generous|(4, [165024, 262055, 296028, 296446])
perfect|(59, [11039, 11990, 12879, 28305, 39224, 39320, 46502, 46545, 61468, 83513, 85406, 110142, 116554, 116933, 117434, 131748, 166511, 168811, 169372, 169508, 174740, 176747, 185755, 189734, 192897, 195675, 196108, 199114, 218927, 219148, 229299, 229361, 229515, 237677, 239070, 244373, 245086, 253185, 253522, 255856, 259001, 260601, 264113, 266823, 276095, 276242, 291472, 295348, 305685, 309135, 309303, 320467, 320584, 334363, 335681, 336145, 337205, 345309, 357795])
poisonous|(4, [123135, 193740, 257906, 268659])
irresistible|(7, [69055, 78913, 106319, 129562, 148569, 172158, 360157])
distressed|(3, [184761, 218608, 288483])
furious|(14, [1443, 28130, 128501, 145379, 168806, 187617, 198768, 199755, 252816, 256705, 283237, 298544, 330950, 360259])
well-arranged|(1, [156031])
impudent|(1, [158562])
enjoy|(1, [289857])
conical|(3, [13062, 16183, 126944])
ruddy|(2, [8452, 282968])
outward|(7, [136320, 176742, 246107, 253705, 267713, 283792, 309705])
turgid|(1, [78180])
passionate|(9, [118432, 161541, 166889, 175437, 183181, 246224, 247960, 248185, 272599])
certain|(143, [3309, 6110, 12617, 13811, 16416, 16997, 18261, 18266, 18270, 20852, 25229, 27874, 29617, 29815, 32018, 33400, 36765, 40573, 41990, 45472, 49502, 59067, 60598, 61012, 64302, 64312, 64556, 64613, 65239, 69180, 70666, 81506, 82433, 82948, 83015, 83067, 83071, 84045, 84151, 85161, 85617, 87421, 88474, 89221, 89548, 91461, 94724, 104462, 105163, 105451, 108062, 109247, 113959, 117758, 117970, 118138, 118753, 119047, 119566, 119699, 120038, 120639, 120841, 122018, 126275, 129552, 129556, 129565, 129903, 132285, 136443, 139395, 143826, 144166, 144942, 149461, 151826, 152888, 153277, 159093, 161934, 166982, 175659, 180879, 184144, 194807, 195063, 198240, 218917, 225838, 230791, 231914, 232411, 233549, 237778, 247302, 248323, 251050, 254618, 255771, 259980, 264022, 264028, 264380, 266685, 268037, 274724, 275875, 283609, 284452, 285035, 285451, 285712, 286346, 288186, 294752, 295285, 295945, 297812, 297816, 306785, 311817, 314616, 327133, 327252, 329583, 335758, 336012, 341380, 343642, 344972, 345491, 345609, 345927, 346089, 349024, 349032, 350968, 353287, 354311, 354327, 357844, 358654])
animated|(3, [88599, 318962, 335190])
impenetrable|(5, [14363, 21536, 153455, 154600, 277376])
fifteen|(26, [15529, 39704, 39993, 72541, 74604, 77378, 83355, 97513, 109162, 173840, 185809, 217824, 221294, 221386, 226187, 239520, 240981, 273065, 273152, 273180, 282374, 282408, 291121, 307109, 311365, 337840])
all-sufficient|(1, [356223])
many-colored|(4, [173391, 173980, 174981, 175149])
diagonal|(1, [222806])
objectionable|(4, [152273, 153160, 308505, 344120])
vermicular|(1, [257928])
overspread|(1, [154515])
thunderbolt|(1, [260186])
beetle|(1, [26695])
thoughtless|(1, [79570])
degraded|(1, [241067])
algebra|(1, [86868])
laden|(3, [148808, 175035, 237096])
lying-to|(3, [198486, 198520, 198606])
untenanted|(1, [268313])
infinitely|(2, [107711, 354753])
unattainable|(3, [6485, 152320, 344177])
unredressed|(2, [126719, 126728])
gloomy|(19, [120456, 120733, 134131, 134327, 170018, 179373, 182206, 184482, 206512, 209387, 214953, 215968, 242306, 248814, 285326, 303281, 304684, 325949, 360701])
peevish|(2, [80458, 112603])
indifferent|(3, [300739, 326106, 351179])
uplifted|(2, [164515, 314394])
extinguished|(1, [317545])
unsolved|(1, [71230])
hollow-sounding|(2, [117810, 121632])
ultramarine|(1, [153463])
obstinate|(2, [128480, 272062])
fatty|(1, [58868])
orange-colored|(5, [275478, 299453, 300336, 303796, 303984])
spendthrifts|(1, [164857])
regular|(17, [6784, 11538, 12802, 13322, 61708, 90305, 95739, 97378, 135063, 194479, 229729, 231604, 245815, 273050, 334745, 337702, 350159])
sum|(3, [35046, 38385, 180390])
undeniable|(1, [306960])
rhapsodical|(1, [255421])
fallen|(1, [256649])
wrong|(27, [17027, 46398, 49086, 62497, 64950, 64985, 67083, 85730, 108030, 113030, 113033, 126717, 126745, 129318, 129576, 129604, 129607, 169296, 176421, 235773, 256468, 275956, 288688, 297350, 314105, 333389, 359704])
enthusiastic|(13, [30226, 179369, 254886, 258705, 258976, 259471, 260027, 261960, 262902, 282539, 301150, 325321, 326379])
transient|(1, [118457])
long-drawn|(1, [70903])
elementary|(2, [149577, 341498])
impracticable|(1, [261164])
died|(1, [283725])
deep-seated|(1, [34637])
unlooked-for|(1, [181507])
willing|(21, [12695, 18649, 39933, 49720, 53196, 61032, 75020, 85251, 105791, 109544, 109751, 211868, 231786, 237996, 239630, 242968, 287061, 287514, 291874, 313949, 332907])
highly-concentrated|(1, [176723])
dungeon|(1, [141416])
pectoral|(1, [145856])
diseased|(2, [39651, 355932])
exquisite|(15, [153662, 154345, 156574, 159550, 162889, 212817, 246433, 258883, 259068, 262098, 303447, 305842, 305863, 325388, 335278])
deplorable|(2, [118031, 217282])
over-powering|(1, [35624])
bizarre|(4, [37968, 273394, 348615, 348624])
visited|(1, [65712])
time-eaten|(1, [39167])
boring|(1, [86294])
borne|(6, [75525, 99482, 100720, 236621, 256824, 279174])
barbaric|(2, [125296, 287236])
hic|(1, [137757])
ill-advised|(1, [76919])
bulky|(1, [101312])
unmistakable|(2, [256344, 260676])
chain-bridle|(1, [284369])
trumpery|(1, [88262])
tame|(3, [230033, 230120, 292945])
imperious|(2, [166944, 283946])
diverse|(1, [86216])
indigenous|(1, [157457])
thought|(2, [129897, 262356])
polish|(1, [108759])
reasonable|(18, [369, 2498, 7185, 7288, 67028, 176121, 185568, 243692, 244832, 270673, 277533, 284177, 289252, 297938, 304168, 311371, 317433, 353823])
favorite|(13, [21422, 27169, 81596, 112420, 119856, 121296, 165292, 175935, 283735, 287544, 303558, 332402, 332407])
puzzling|(1, [37683])
chinese|(4, [232044, 232527, 302028, 314015])
follow|(1, [180993])
favourite|(1, [252158])
moss-covered|(2, [151914, 343730])
grayish|(1, [245848])
mathematical|(18, [37836, 51651, 62781, 70917, 79989, 86745, 86931, 86941, 86992, 87075, 131824, 161209, 220322, 247690, 321868, 321906, 346111, 356300])
shaded|(1, [263522])
optical|(1, [19663])
snowy-white|(1, [134014])
narrow|(56, [8463, 25817, 33805, 34400, 35644, 41129, 42886, 53518, 66557, 73868, 77313, 91096, 98466, 100577, 103634, 117254, 119057, 124694, 130726, 132707, 133604, 146234, 153392, 156135, 161103, 163631, 172125, 173508, 180524, 181103, 181130, 183785, 184037, 185249, 193795, 195823, 201581, 202171, 206046, 220490, 220843, 223191, 233265, 235038, 235341, 239918, 253717, 256837, 268215, 268868, 275201, 283322, 322336, 324688, 328589, 358191])
required|(1, [345707])
half-way|(1, [339093])
disturbed|(1, [15543])
villanous|(1, [314816])
minute|(16, [4838, 20234, 25492, 48511, 101958, 113357, 139482, 160482, 168283, 186438, 245273, 258206, 310161, 312726, 331069, 348832])
outré|(2, [44336, 47742])
placid|(1, [246024])
unjust|(1, [67229])
nowhar|(1, [23185])
forgot|(1, [18027])
preceding|(1, [88778])
unsteadiness|(1, [195600])
ripe|(1, [165138])
gay|(1, [175254])
inaccessible|(4, [25277, 38321, 117274, 255216])
law-encumbered|(1, [108006])
air-tight|(1, [10005])
heightened|(2, [169634, 334875])
well-known|(7, [30399, 71943, 108736, 121462, 132207, 144227, 336116])
aeronautic|(1, [6513])
dusky-visaged|(1, [255586])
miserable|(9, [21461, 34998, 43911, 122433, 164152, 185900, 229613, 235580, 296838])
necromantic|(1, [94583])
rebuilt|(1, [317493])
blended|(1, [132457])
one-half|(5, [6338, 6348, 150243, 195076, 340035])
charitable|(3, [61292, 284045, 323123])
chess-board|(2, [275168, 348551])
divine|(5, [154275, 246391, 246533, 247013, 258915])
husky|(2, [172871, 283213])
long-interred|(1, [254387])
easy|(28, [7036, 15978, 26725, 32246, 56759, 57015, 67661, 75716, 89160, 89903, 89968, 105654, 110085, 130741, 146083, 150055, 162833, 174560, 181857, 272035, 297586, 310488, 310490, 319851, 341980, 351347, 352030, 354552])
vise-like|(1, [5593])
nigger|(1, [26355])
horrible|(45, [4034, 4391, 4564, 4683, 4821, 17177, 36120, 41112, 41266, 58943, 78805, 90626, 91171, 93605, 97905, 99932, 122558, 123083, 138882, 140289, 143840, 170615, 172608, 182836, 187976, 189540, 199667, 200119, 201257, 203005, 203716, 207769, 210598, 211102, 211174, 211295, 216084, 268200, 268863, 277450, 305442, 306612, 332639, 332713, 358546])
unaided|(2, [351498, 355748])
awful|(11, [42104, 80765, 91601, 100866, 145521, 148623, 212301, 270135, 280357, 332620, 340805])
civilized|(3, [228916, 230404, 242779])
tremulous|(10, [79961, 80837, 82310, 117783, 120543, 164511, 172869, 173814, 173919, 264029])
middle|(6, [114882, 222484, 250307, 258310, 318674, 356173])
necked|(1, [316069])
stricken|(1, [136764])
modest|(3, [156526, 159094, 289098])
direct|(27, [2641, 14486, 15105, 19767, 39531, 43815, 44556, 53544, 75797, 94816, 116533, 130520, 139821, 144256, 150831, 154779, 179667, 196638, 258462, 263262, 272725, 297029, 332875, 342742, 351086, 351815, 357266])
length|(11, [13981, 15687, 78867, 113432, 181841, 194086, 212477, 263306, 268123, 306244, 358341])
flow|(2, [129880, 341130])
existed|(1, [108660])
up-side-down|(1, [297849])
amiable|(2, [257744, 324939])
tenderly|(1, [118282])
ossi|(1, [304902])
judicial|(2, [131353, 145069])
reverent|(1, [81795])
magic|(2, [144180, 174177])
plentiful|(5, [191249, 196266, 196593, 230224, 231544])
voilà|(1, [324318])
twelve|(7, [16876, 35300, 142192, 230532, 232601, 268130, 346384])
perfumery-girl|(1, [61452])
time-worn|(1, [161229])
discernible|(9, [9495, 51017, 95642, 116858, 119005, 137175, 159049, 187510, 320849])
well-conditioned|(1, [118])
whiss|(1, [92160])
israelitish|(1, [36412])
long-enduring|(1, [71221])
constrained|(1, [117418])
finite|(1, [87093])
vertical|(2, [73998, 214965])
o-o-o-o-oh|(1, [26439])
remembered|(1, [30521])
vord|(1, [314672])
landscape-garden|(3, [150766, 152341, 344199])
effeminate-looking|(1, [256728])
blood-chilling|(1, [268442])
astounding|(1, [255556])
too-wit|(1, [236791])
stupified|(1, [28533])
shaped|(1, [288])
prodigious|(34, [4729, 5184, 11391, 18920, 19295, 29196, 35567, 47882, 48532, 71762, 81055, 84570, 91355, 92389, 93539, 93675, 94215, 96087, 97108, 100310, 103132, 121789, 190148, 214148, 257367, 269964, 275355, 283401, 287292, 288954, 291082, 321563, 327624, 327751])
forthwith|(5, [114742, 145384, 271090, 290702, 357425])
many|(279, [677, 2472, 2583, 4370, 6212, 12344, 12591, 13358, 13554, 14979, 16369, 17869, 18635, 18948, 21301, 21625, 22679, 25303, 25764, 25975, 29217, 29242, 31437, 35196, 39251, 41038, 41141, 41163, 41292, 41630, 43958, 47314, 48118, 56810, 56817, 61866, 65576, 66592, 66960, 68976, 70410, 73571, 75233, 77090, 77213, 79030, 79584, 80998, 81198, 81384, 81978, 82227, 85658, 89599, 90390, 90782, 92498, 95015, 99427, 100758, 101364, 104524, 104610, 105022, 105870, 108249, 108265, 108550, 112063, 113344, 114093, 114779, 116262, 116451, 117081, 117335, 118154, 118431, 118674, 119640, 122409, 122412, 122415, 122464, 122466, 122998, 124589, 125784, 127458, 128791, 130624, 132149, 132167, 132181, 132700, 133833, 134202, 134310, 136000, 137007, 138447, 138841, 139069, 139225, 139725, 140001, 140229, 140296, 140611, 140847, 141516, 141743, 142226, 142466, 142642, 143060, 143770, 144013, 145187, 146923, 147419, 149908, 150002, 150577, 150995, 151814, 154751, 160235, 160839, 162190, 162290, 162459, 163009, 163542, 165690, 166006, 167824, 168543, 169125, 169182, 170034, 171327, 171403, 172456, 173134, 173453, 173467, 173619, 174575, 175654, 176801, 178275, 180093, 180833, 183939, 185776, 185899, 190132, 193459, 193774, 194554, 195309, 195383, 195457, 197214, 199555, 200485, 206570, 206657, 206874, 213329, 219959, 221100, 221156, 221885, 229101, 230366, 230620, 230675, 231324, 237412, 239165, 239911, 241588, 242885, 243312, 243759, 244277, 245355, 245821, 247035, 247169, 247857, 248329, 248831, 249286, 250872, 251026, 251386, 251985, 252109, 252792, 252796, 253756, 253784, 253786, 254478, 255811, 257024, 257747, 261325, 262662, 263184, 263645, 264064, 264123, 268170, 268390, 268710, 272202, 272206, 272650, 276715, 279620, 283819, 285518, 286220, 286888, 287546, 289267, 289420, 290205, 291995, 292310, 292638, 292938, 297840, 298773, 304330, 307662, 307686, 308034, 308254, 308508, 313125, 318975, 319765, 321521, 322538, 324539, 327577, 329788, 332823, 332846, 333178, 339358, 339868, 340890, 341829, 341923, 342447, 342896, 343630, 344663, 348089, 348144, 348843, 352846, 353362, 354351, 356706, 357464, 358320, 358554, 359033, 359619, 360445, 360514, 361393])
satisfactory|(16, [15009, 85525, 186749, 231799, 244517, 254135, 274792, 291527, 295301, 295429, 297920, 309551, 313505, 314032, 348718, 348748])
irish|(2, [318587, 337401])
gin-nurtured|(1, [112688])
and-|(2, [281013, 288736])
sprung|(1, [202513])
lain|(1, [116551])
clutched|(1, [48240])
private|(23, [17518, 35050, 52434, 52917, 55366, 73101, 79418, 85186, 111589, 145701, 145749, 161852, 192744, 258850, 263637, 270858, 285040, 285240, 294793, 310640, 313180, 329398, 330923])
otherwise|(1, [257282])
indefinable|(4, [186645, 240711, 270911, 355522])
french|(20, [29012, 32192, 41994, 42070, 45122, 49543, 86836, 90420, 130678, 143807, 159523, 221355, 221742, 232003, 266581, 288005, 302136, 305066, 323920, 335682])
sensitive|(7, [52637, 122015, 172262, 226991, 254882, 286745, 295331])
unsocial|(1, [248858])
adventitious|(3, [5855, 34945, 160534])
circuitous|(2, [256593, 257176])
high|(104, [23, 939, 4253, 5793, 6610, 11979, 20455, 25174, 25929, 29988, 33711, 50687, 74319, 81984, 82083, 82943, 90022, 95593, 96782, 99220, 99817, 101390, 106926, 114074, 119404, 123122, 145109, 150556, 152635, 154129, 154445, 156240, 156266, 160576, 169687, 171900, 180684, 181121, 181156, 185882, 189878, 191983, 193292, 201667, 204648, 211646, 216217, 217795, 219603, 220588, 221369, 221657, 224799, 225819, 227243, 232561, 232883, 235025, 241176, 243214, 248300, 248385, 249138, 253556, 255957, 260930, 264374, 267658, 270268, 270491, 272858, 275333, 278049, 280399, 281161, 286836, 290424, 291980, 296139, 296888, 297171, 297987, 307739, 312454, 313117, 313446, 313740, 316625, 322382, 325910, 333756, 333762, 334351, 336301, 336864, 337891, 339616, 339645, 341569, 342425, 349855, 352160, 353950, 360387])
forthwith-take|(1, [289002])
main|(102, [4450, 20073, 20289, 21402, 23859, 24732, 25181, 25547, 29971, 32216, 33249, 33504, 34177, 77929, 78953, 81192, 96005, 97521, 119994, 154823, 157952, 158045, 158144, 158191, 158209, 158379, 158484, 158591, 158850, 164976, 178593, 182361, 187675, 189264, 190212, 191280, 191952, 191965, 192758, 193149, 193172, 195635, 195759, 196642, 197597, 198176, 198805, 203316, 206316, 223746, 228723, 233621, 233718, 234514, 234663, 237375, 238402, 238564, 238769, 239354, 242192, 244950, 263720, 267074, 274520, 275199, 284805, 285299, 289229, 291179, 305960, 308248, 310285, 326357, 326869, 326897, 337947, 340922, 346993, 347019, 347105, 347122, 348729, 349359, 349361, 349390, 349464, 349485, 349598, 349685, 349714, 349890, 350057, 352178, 352258, 352372, 352428, 352438, 352699, 352711, 352729, 352738])
cadaverous|(2, [110696, 288099])
emicant|(1, [21113])
metaphysical|(5, [17876, 170741, 247733, 304103, 308012])
attentive|(1, [40302])
cloth|(1, [141932])
red-hot|(2, [94282, 94522])
dass|(1, [51489])
ambitious|(4, [61391, 150562, 291818, 342431])
petulant|(3, [40332, 162228, 164482])
blissful|(4, [115212, 151510, 355891, 356573])
severe|(17, [3615, 8199, 21765, 23389, 41164, 77033, 118268, 127155, 145159, 202657, 204487, 213560, 215617, 238247, 279747, 293052, 293722])
adduced|(1, [58421])
autocrats|(1, [358362])
tawny|(2, [48608, 48921])
aslant|(1, [170861])
interim|(1, [261727])
upspringing|(2, [65526, 65589])
au-chat|(2, [288037, 288039])
vindictive|(1, [242235])
happiness|(1, [353919])
re-searched|(1, [43352])
irreconcilable|(1, [47746])
latitude|(21, [190626, 219247, 219279, 219619, 221306, 221638, 222464, 222510, 223318, 223403, 223425, 223456, 223490, 224103, 224133, 224715, 224903, 225518, 225769, 242471, 245524])
notorious|(7, [35744, 52329, 64744, 76976, 266859, 323353, 329003])
wise|(3, [94647, 279410, 279484])
croaked|(1, [291316])
ærial|(1, [72916])
mo-o-on|(1, [336285])
impulse-elementary|(1, [129624])
conversant|(6, [45077, 73550, 92188, 228927, 286159, 338320])
unsteady|(5, [78134, 79107, 127365, 170203, 209907])
distinguishable|(1, [45342])
straightway|(1, [20935])
lozenge|(1, [158253])
entomological|(1, [21654])
sermon|(1, [334988])
fifth|(6, [66093, 78076, 133618, 163594, 273193, 329087])
bear|(2, [37400, 304884])
abrupt|(4, [12182, 170672, 233360, 321282])
affrighted|(1, [245172])
death-bed|(1, [110812])
secret|(33, [3254, 29885, 30594, 32088, 39240, 45628, 45652, 46340, 63950, 64005, 69154, 69228, 80795, 83314, 84123, 84133, 87403, 93325, 131300, 153289, 164221, 166640, 167101, 168335, 173172, 200794, 268362, 286462, 300398, 324279, 348300, 355239, 360439])
maimed|(1, [236541])
servi|(1, [323435])
fiendish|(10, [51179, 112685, 143207, 189149, 217927, 240822, 242241, 268979, 270631, 282858])
many-tinted|(1, [125564])
am|(1, [49718])
partial|(19, [111632, 148120, 164306, 179524, 194662, 194864, 194956, 195103, 195371, 195395, 204540, 205076, 205114, 218686, 235428, 251259, 287966, 306865, 359262])
assert|(1, [301488])
insisted|(1, [211751])
southeast|(1, [223207])
o-o-o-o-gh|(2, [288382, 288384])
earthly|(6, [116014, 151488, 204141, 332272, 332315, 358443])
soothing|(1, [286162])
absorbed|(1, [170843])
eyelid|(2, [148077, 251066])
black-robed|(1, [137914])
rare|(28, [6799, 6991, 10709, 11404, 19563, 21777, 39000, 81855, 81897, 97623, 106418, 106428, 106760, 107783, 119910, 141591, 157559, 160908, 166180, 166310, 166316, 246018, 258744, 281183, 328959, 333977, 359811, 360691])
fifteenth|(2, [105053, 282370])
arabian|(5, [130241, 156871, 255989, 299438, 303780])
quondam|(1, [39869])
quiet|(17, [39444, 40861, 50486, 122956, 123187, 133811, 162356, 183714, 187278, 192990, 194222, 205020, 227735, 246316, 284972, 287284, 303205])
octavo|(1, [119861])
dirty|(9, [18345, 18349, 22339, 29531, 39678, 88273, 180361, 286985, 317877])
never-to-be-imparted|(1, [80794])
desultory|(1, [171683])
steadfast|(1, [60968])
injured|(1, [303548])
cubical|(1, [322701])
life-like|(2, [121137, 358473])
blood-bedewed|(1, [126584])
unmuzzled|(1, [27559])
soient|(1, [324331])
messy|(1, [39347])
rushing|(1, [130325])
partisan|(1, [196947])
dumpy|(1, [275661])
implacable|(2, [34982, 316446])
yellow|(8, [1103, 123603, 173710, 208312, 256154, 269194, 275475, 275539])
lurid|(4, [116197, 143247, 360312, 360713])
servile|(1, [282555])
countless|(1, [256169])
lovely|(8, [133909, 159757, 258936, 259390, 266650, 266945, 328708, 335569])
worn|(1, [29041])
eo|(1, [173230])
disgraceful|(1, [40528])
respectful|(3, [53347, 71082, 228766])
elephantfish|(1, [230186])
navigation|(1, [345476])
forty-five|(11, [5234, 5248, 35399, 72723, 96209, 100477, 153839, 156646, 229716, 234448, 270123])
burnt|(1, [102863])
vy|(1, [265863])
east|(3, [33253, 33508, 34183])
leather-bottomed|(4, [275737, 276038, 276415, 277085])
polar|(5, [17591, 224015, 235632, 242488, 243725])
unusual|(53, [21604, 33464, 36060, 37986, 41092, 43310, 43609, 44301, 44473, 45233, 46910, 47025, 47152, 47668, 48266, 52669, 84449, 86258, 95694, 98131, 103885, 109393, 117556, 118467, 120028, 121951, 122781, 124563, 133607, 134709, 135041, 143041, 149462, 150276, 152354, 164192, 180640, 189001, 195329, 233628, 243202, 250047, 252032, 263544, 283064, 307272, 307710, 309808, 312705, 341381, 344211, 359234, 359845])
necessary|(114, [1330, 3082, 3133, 9128, 10090, 10915, 11562, 12845, 15138, 16869, 18585, 19606, 21785, 28615, 32812, 38448, 43895, 44676, 47838, 51316, 52734, 53629, 57984, 62707, 64316, 66889, 67208, 68403, 73541, 73833, 73889, 74722, 81208, 88676, 95833, 96888, 107002, 107047, 107065, 107759, 108558, 111372, 120580, 125315, 131349, 144272, 152363, 165910, 179956, 181463, 181514, 183900, 187390, 187455, 191871, 198755, 200280, 202427, 202740, 205719, 206014, 206174, 208700, 211583, 211819, 213334, 218155, 220694, 222400, 227753, 228576, 228679, 231289, 231814, 232627, 238225, 240250, 240440, 241507, 242504, 250980, 267585, 268907, 269950, 273148, 274572, 284312, 286086, 287753, 300890, 301681, 305082, 309033, 317648, 320028, 328044, 328752, 328864, 329933, 331636, 333310, 337430, 340515, 344221, 347632, 347962, 348200, 349130, 349233, 349926, 350648, 352780, 353713, 360078])
unlooked|(1, [62774])
recommandable|(1, [20093])
sighs|(1, [248672])
notable|(1, [3773])
reckless|(2, [125908, 284081])
ill-natured|(1, [163643])
fish|(3, [91292, 97399, 208411])
time-piece|(1, [275275])
jetty|(5, [9624, 95177, 171913, 249491, 333804])
souls|(1, [323266])
delight|(1, [213634])
imperceptible|(8, [109903, 110236, 114345, 130219, 138008, 260047, 284600, 353644])
cool|(3, [113054, 280557, 310473])
depraved|(1, [47763])
invalid|(3, [109471, 119786, 254565])
paved|(1, [41211])
hair|(1, [60248])
rival|(5, [166936, 282143, 294636, 294767, 299074])
space-penetrating|(2, [18799, 19726])
bankrupt|(1, [339006])
colored|(2, [282816, 348522])
scenery|(1, [342848])
one-and|(1, [1432])
virginian|(1, [155329])
wrinkled|(1, [80354])
unimagined|(1, [62777])
asbestic|(1, [103857])
yellowish|(1, [111659])
rakish-looking|(1, [217876])
free|(31, [36680, 37540, 73950, 74176, 92280, 130158, 142023, 142842, 142940, 142939, 143001, 147829, 149054, 149602, 152609, 186966, 212520, 212557, 213353, 216348, 224163, 242661, 246621, 271091, 290692, 290863, 311827, 321076, 341518, 344441, 351350])
lateral|(9, [25746, 109811, 109889, 110023, 141962, 156457, 161015, 239086, 244929])
poignant|(2, [247812, 312817])
e.|(1, [32378])
content|(1, [60914])
lost|(4, [31684, 117829, 278834, 329773])
painful|(12, [8573, 14443, 93831, 107268, 141672, 144319, 170450, 190512, 257730, 349602, 353727, 355407])
ill-treated|(1, [144785])
sigh|(2, [251177, 332934])
elegant|(1, [259034])
punch|(1, [269106])
hundredth|(1, [6358])
te|(13, [305879, 314904, 314918, 314997, 315024, 315030, 315223, 315226, 317095, 317262, 317281, 317296, 317327])
social|(6, [149447, 149803, 283860, 325916, 334765, 341722])
pistol|(1, [236270])
sixty-four|(2, [223674, 224104])
philological|(1, [245274])
theatrical|(1, [156032])
pre-existent|(1, [278585])
thorn|(2, [56264, 66759])
semi-spiral|(1, [72538])
key-hole|(2, [305055, 315881])
sixty-two|(2, [224211, 296290])
unequal|(9, [31005, 42147, 44846, 45327, 47170, 120504, 146536, 236204, 357429])
immeasurable|(1, [273170])
lucid|(3, [21236, 171430, 173253])
gradual|(10, [10840, 15980, 74650, 118447, 119697, 146622, 154612, 216639, 252022, 252676])
speechless|(2, [85319, 295006])
blushing|(1, [134698])
bran|(1, [338481])
heart-sick|(1, [153218])
axiomatic|(2, [320005, 320161])
active|(5, [208124, 250523, 268819, 287320, 356841])
fresh-water|(1, [213725])
applied|(2, [43850, 293292])
disturbing|(1, [303348])
unshackled|(1, [11587])
twattle|(1, [298576])
madness|(2, [60721, 138653])
utmost|(9, [45846, 52688, 183874, 184401, 202836, 206509, 213445, 237663, 241931])
occasional|(16, [53329, 53358, 77236, 120531, 153140, 154541, 156451, 156530, 157408, 212977, 218798, 226489, 227376, 240393, 269071, 270219])
