royal|(6, [82960, 83220, 89898, 219771, 219916, 270793])
handcuff|(1, [191485])
sonum|(1, [40552])
engine|(2, [114415, 345464])
tinge|(3, [132136, 165465, 250902])
hither|(4, [132694, 158440, 248393, 313717])
valueless|(1, [332862])
mortal|(4, [118853, 128974, 248110, 343334])
antagonist|(27, [149379, 162411, 165285, 166110, 167535, 167649, 324461, 341295, 345982, 347306, 347378, 347520, 347572, 347598, 347615, 347968, 350172, 350206, 350446, 350468, 350490, 350527, 350549, 350620, 352501, 352608, 352946])
masthead|(5, [222822, 224002, 225891, 226262, 227185])
heaving|(2, [96030, 211394])
stray|(2, [153706, 275694])
dilemma|(7, [4966, 12519, 186010, 230780, 294083, 327776, 328801])
tax|(3, [89673, 90509, 308593])
cresset|(1, [323824])
sloop|(4, [148799, 148847, 148961, 195650])
robbery|(2, [50008, 268727])
pentagon|(1, [249159])
modelling|(1, [198796])
sustenance|(3, [14870, 211473, 359326])
bowsprit|(4, [203037, 207190, 207621, 207737])
raven-black|(1, [246557])
pocket-mirror|(1, [330670])
abatement|(1, [259340])
proposition|(21, [53235, 53272, 74974, 75025, 129521, 131545, 152076, 189394, 189760, 205927, 208183, 211146, 228569, 300485, 302487, 302832, 320486, 322056, 339206, 343891, 354961])
nationality|(2, [47175, 135397])
excretory|(1, [232100])
bargeman|(3, [63524, 69817, 69874])
mutiny|(10, [37149, 189540, 189719, 190184, 191581, 191849, 192413, 192730, 197949, 201160])
self-complacency|(2, [309440, 321158])
lapse|(13, [52407, 58254, 71171, 87178, 116030, 116584, 125084, 125218, 145086, 148036, 163972, 261720, 261997])
palpability|(2, [106368, 130256])
*23|(3, [70487, 71614, 94121])
feature|(12, [16148, 27511, 65586, 116874, 118133, 153538, 162671, 171180, 258633, 269200, 269468, 338152])
bidding|(3, [183711, 248407, 323573])
uniform|(1, [229202])
ob|(2, [23336, 23566])
phrase|(18, [34175, 44202, 46308, 66673, 99183, 131009, 152029, 174304, 191150, 263939, 302128, 302450, 302585, 302632, 305568, 313758, 325091, 342619])
gratitude|(5, [177380, 210789, 302913, 312164, 316356])
inconsistent|(2, [55189, 61438])
remedy|(6, [19745, 70139, 117901, 151325, 258597, 343251])
monument|(1, [322966])
stomach|(15, [43083, 58805, 59129, 94010, 187013, 199536, 200113, 204337, 209323, 211628, 230996, 275391, 276295, 316199, 330914])
squeezing|(1, [233681])
converse|(5, [45081, 74057, 145636, 174275, 267717])
bowstring|(2, [90500, 94977])
category|(3, [59448, 319535, 319547])
saffron|(2, [122968, 269196])
shuffle|(1, [347723])
sixty|(10, [13119, 13289, 25852, 74920, 125220, 148849, 224209, 236052, 241818, 311883])
uncertainty|(6, [133178, 155155, 208208, 235516, 303965, 345913])
darker|(5, [13771, 14345, 92767, 133275, 253480])
blemish|(2, [151562, 343354])
mystific|(1, [307563])
copy|(15, [19260, 53420, 136196, 162836, 163017, 272828, 278392, 280380, 280663, 292402, 296128, 296552, 312554, 325617, 325629])
revival|(2, [111627, 138746])
snowball|(1, [157420])
logic|(3, [70569, 279466, 320172])
fire-place|(4, [41100, 159726, 268110, 271962])
catalogue|(2, [144004, 164882])
waist|(12, [54078, 54087, 67953, 67959, 128276, 167329, 177192, 178518, 204785, 240059, 272005, 275490])
raiment|(2, [134059, 167682])
trove|(1, [311478])
shipping|(2, [48883, 198677])
astronomy|(2, [78, 20888])
pronunciation|(2, [265982, 272795])
inform|(1, [335382])
peer|(1, [20987])
crown|(5, [665, 37597, 189937, 269231, 317116])
quocunque|(1, [298472])
corporal|(1, [222077])
lightning-rod|(2, [46903, 49067])
bonnet-ribbon|(1, [69258])
sediment|(1, [281625])
perfume|(10, [135942, 138459, 159693, 170902, 174675, 175006, 301926, 304234, 330049, 357898])
bloom|(1, [157217])
ignorance|(13, [2441, 17677, 18733, 20312, 20886, 52445, 64515, 66430, 194573, 227988, 246937, 290083, 353200])
chaos|(7, [80650, 101664, 135754, 181179, 237620, 244236, 357583])
seaman|(14, [69265, 69316, 79871, 80448, 97995, 98295, 179395, 180287, 194527, 195338, 198231, 233161, 267708, 271811])
amount|(24, [52934, 55203, 73323, 84152, 85300, 85827, 131898, 149887, 150027, 152731, 155572, 165372, 272714, 273161, 281168, 311565, 311614, 311786, 319586, 333944, 339671, 341809, 341952, 344522])
proximity|(7, [30802, 142293, 154569, 163813, 244626, 261005, 359125])
cravat|(3, [5133, 5156, 313051])
veloute|(1, [286786])
macula|(1, [21231])
lecturer|(1, [272899])
bewildering|(3, [67861, 100329, 176904])
progress|(46, [7294, 14275, 15058, 43391, 45406, 55029, 73027, 73964, 75068, 75126, 75323, 87804, 93125, 100694, 102177, 106676, 106709, 117088, 124325, 128225, 154757, 157652, 158957, 177510, 178146, 193504, 193998, 217001, 223109, 223327, 223695, 224391, 233520, 234349, 238338, 268528, 284721, 318013, 319417, 320479, 345903, 346460, 347929, 348243, 354662, 355627])
mantel|(2, [159765, 357713])
margin|(8, [139985, 143446, 170831, 173611, 255973, 308938, 313342, 313820])
tenant|(11, [41545, 120314, 147069, 159413, 172522, 172848, 229758, 229851, 232397, 251390, 360913])
misanthrope|(2, [103091, 103288])
pack|(1, [166101])
thee|(14, [37273, 133346, 133501, 137605, 253100, 271054, 302377, 302380, 303569, 306718, 306721, 323615, 323636, 335502])
froth|(2, [101729, 164115])
change|(46, [5269, 13598, 14959, 15843, 23428, 27985, 40535, 55426, 74723, 77350, 95854, 98900, 101691, 110673, 112527, 117628, 120473, 142632, 143044, 143477, 143485, 155772, 164015, 167575, 170553, 173981, 174254, 174765, 209608, 217432, 218983, 237743, 243529, 250555, 251497, 288022, 311067, 311135, 311186, 311311, 311693, 312518, 337122, 345656, 358006, 359930])
action|(47, [7760, 9414, 30910, 30997, 37757, 47753, 56160, 65366, 72867, 81368, 86293, 87372, 87497, 99855, 106102, 106132, 107187, 107198, 107981, 112959, 113322, 117771, 129310, 129463, 129581, 129980, 130082, 136454, 145596, 145811, 146540, 179827, 187109, 200899, 213727, 220245, 247433, 256529, 260214, 260326, 260696, 277755, 282982, 329585, 336695, 350246, 357031])
squashish|(1, [92213])
leisure|(10, [2059, 20738, 125792, 145698, 165918, 228077, 234815, 263383, 305009, 325159])
lightness|(3, [7235, 78459, 246326])
outset|(2, [57548, 58090])
ruffle|(1, [269582])
gear|(1, [225143])
repeater|(1, [275712])
expanse|(7, [73883, 95510, 157394, 159540, 223515, 223524, 225246])
homme|(1, [282039])
carving-knife|(2, [187529, 188028])
index|(3, [24400, 27193, 247451])
jingling|(2, [128920, 255569])
brisk|(1, [217650])
