shade|(17, [81401, 132635, 132731, 132906, 133070, 133139, 133276, 159707, 163704, 172067, 229216, 229224, 250339, 263585, 306659, 338543, 357013])
flask|(1, [196522])
bump|(2, [277997, 337455])
bedchamber|(1, [283497])
equity|(1, [71565])
fellow-commoner|(1, [165162])
graveyard|(1, [146147])
glow-worm|(1, [261535])
worthless|(2, [88337, 320183])
physician|(10, [24910, 42971, 85195, 117197, 172735, 254487, 254808, 284109, 300727, 330663])
ascension|(8, [3368, 6560, 6577, 7306, 9104, 9226, 9439, 25768])
thoughtlessness|(1, [285946])
superscription|(1, [88470])
rèsonne|(1, [115838])
ball|(5, [12731, 88910, 110413, 124559, 217883])
itusse|(1, [265852])
demolition|(1, [315122])
guarda|(1, [279149])
strap|(1, [140840])
misunderstood|(1, [130600])
share|(4, [183272, 271335, 331005, 332328])
unclosing|(2, [144896, 164307])
rudder|(20, [24413, 63548, 69848, 69884, 69887, 70328, 72698, 72750, 73493, 74206, 74685, 74717, 75705, 77706, 199027, 199049, 203243, 203288, 203347, 225020])
ver|(6, [265927, 266032, 266145, 266231, 266235, 266275])
talker|(1, [334597])
editor|(40, [54868, 55417, 60869, 61105, 61127, 61248, 62163, 65532, 257941, 279432, 279562, 279757, 279824, 280225, 280237, 281707, 292152, 292231, 292348, 293469, 294025, 294235, 294359, 294440, 294523, 294600, 294637, 295624, 295879, 296317, 296337, 296731, 296948, 297212, 297518, 297917, 298663, 317624, 317655, 333337])
feint|(2, [38583, 196101])
course|(226, [971, 2661, 2706, 2778, 4123, 6495, 10432, 10614, 10698, 11930, 12225, 12319, 12861, 13116, 13866, 14525, 14558, 14671, 14904, 15106, 15971, 16725, 18781, 20361, 24465, 28496, 29844, 30380, 31434, 33407, 33581, 34022, 34619, 38114, 40076, 49673, 52029, 52439, 52683, 53545, 54773, 66163, 73140, 73993, 74729, 75055, 75696, 76463, 76578, 76777, 77233, 77856, 78048, 80028, 83387, 83487, 84006, 84488, 84613, 84846, 85746, 86229, 87590, 89373, 90005, 99453, 101996, 103088, 104220, 104357, 104472, 105634, 108462, 108960, 109326, 112520, 114683, 115331, 132361, 136998, 139971, 140365, 141074, 143133, 143681, 150000, 151678, 151985, 152764, 152783, 153254, 154224, 154662, 155150, 155498, 155756, 156991, 157721, 158027, 158106, 160305, 160876, 162865, 164149, 165096, 165434, 176322, 176879, 177441, 177593, 178796, 179075, 180111, 181019, 181864, 183454, 184600, 187374, 190234, 190692, 192697, 192828, 193398, 194845, 196499, 198961, 202595, 203092, 204469, 206989, 207463, 209907, 211128, 211291, 217185, 217476, 217842, 218475, 220238, 222657, 222850, 223079, 224836, 224873, 225379, 226702, 227014, 231318, 233697, 234145, 234600, 234732, 242512, 242609, 243152, 244260, 245740, 255525, 256317, 256970, 259950, 260023, 260829, 262916, 262921, 262940, 264739, 265073, 266815, 266962, 268588, 268743, 272286, 274216, 275073, 275962, 276400, 280692, 282261, 282512, 283352, 284363, 285879, 289413, 294563, 295768, 296725, 300099, 300466, 305387, 308705, 309568, 310682, 312641, 315797, 318479, 319722, 321640, 324807, 325850, 326768, 327344, 328035, 328533, 328904, 331012, 331546, 331858, 334442, 336443, 339135, 339209, 339919, 340113, 341921, 343488, 343803, 344836, 347556, 348636, 349015, 349756, 351669, 353677, 354909, 359671])
bald|(1, [189951])
floating|(4, [57508, 101277, 101445, 317781])
substructure|(1, [62762])
slumberer|(2, [110077, 358240])
ceiling|(14, [19477, 117324, 124804, 140943, 142987, 161115, 180679, 181175, 249226, 270139, 270183, 302002, 304644, 323780])
sea-sickness|(2, [183624, 197231])
philippic|(1, [279847])
showing|(3, [320132, 320178, 330338])
seventy|(5, [97316, 233370, 236054, 286902, 303590])
chateau|(9, [81050, 81206, 283679, 283783, 285345, 287192, 289233, 290873, 291685])
shopkeeper|(3, [52320, 310897, 311031])
landscape-painter|(1, [157896])
arrow|(3, [37353, 257119, 257652])
top|(32, [1008, 46475, 54727, 58169, 59288, 84211, 95468, 95868, 99029, 113704, 158692, 181136, 184267, 188132, 207067, 218189, 234483, 234495, 235181, 237807, 259119, 266467, 275360, 288668, 288863, 290245, 291391, 335144, 346514, 348614, 352229, 352295])
surmising|(1, [304041])
foul|(3, [10780, 270591, 361322])
performer|(1, [330369])
bore|(6, [51024, 239618, 255937, 267478, 298093, 298385])
flower|(8, [60635, 138463, 170905, 171370, 301987, 304627, 335188, 342736])
hoof|(2, [36642, 284891])
fender|(1, [313866])
-yesterday|(1, [262339])
seventeenth|(4, [15554, 181555, 212890, 238785])
check|(8, [85047, 85297, 85369, 85462, 87320, 278464, 347959, 355334])
haze|(1, [222851])
milky|(1, [243789])
clod|(1, [132080])
timepiece|(1, [277404])
interloper|(2, [27288, 335716])
struggling|(1, [147435])
wept|(2, [174543, 277781])
dislike|(3, [102751, 112861, 113907])
penguin|(10, [219772, 219944, 219958, 220114, 220196, 220524, 220537, 220548, 220725, 223452])
station|(25, [3443, 3869, 9751, 35186, 83124, 101405, 101496, 173611, 187917, 196697, 200005, 200923, 203905, 212089, 223032, 231204, 237831, 240194, 240347, 240859, 243272, 249565, 270464, 295692, 344897])
cooing|(1, [9685])
hermaphrodite|(1, [206883])
packing|(1, [353254])
duller|(1, [247880])
anger|(8, [42157, 50953, 115191, 129887, 129908, 193856, 211649, 262396])
totter|(1, [240918])
aperture|(22, [10558, 41130, 47783, 103800, 128907, 143141, 181037, 184242, 184528, 191939, 193129, 195930, 196704, 237140, 239333, 239426, 269547, 304666, 304787, 304857, 305024, 347476])
temperament|(13, [59038, 108818, 112464, 116441, 117772, 136342, 160198, 164818, 179370, 250017, 258697, 324602, 328955])
monopoly|(1, [269510])
wedding|(3, [89874, 272337, 329108])
tarn|(8, [116198, 116679, 116845, 117041, 118230, 119677, 121282, 122899])
night|(221, [2068, 2810, 3163, 3825, 3888, 4496, 8403, 12298, 12435, 13899, 15511, 19847, 20521, 22069, 23008, 23900, 24855, 27023, 28926, 29282, 29377, 29899, 34478, 39674, 48861, 50280, 50743, 50766, 53146, 53333, 53606, 53625, 54791, 55004, 57924, 58028, 59694, 68847, 68851, 69570, 70320, 74280, 75283, 75353, 75604, 75878, 76170, 76222, 77397, 78255, 78582, 80646, 81076, 81245, 82100, 83687, 83733, 87412, 89582, 89871, 90089, 90103, 90229, 90464, 90561, 97610, 105048, 109515, 109610, 110168, 112612, 112746, 113156, 113652, 114475, 114770, 115232, 115238, 118513, 120662, 120883, 121075, 121316, 123193, 123445, 123575, 123656, 123747, 123859, 125595, 125876, 126574, 133605, 133682, 133989, 135163, 135361, 137089, 138208, 138918, 139045, 145722, 146841, 147000, 147294, 147298, 147574, 148827, 149100, 152825, 155126, 158274, 163587, 164226, 165269, 167868, 168012, 168171, 168240, 168255, 168268, 168292, 168486, 168488, 168545, 169015, 169226, 169387, 170222, 170877, 171606, 172384, 172514, 172892, 173143, 174624, 175046, 175205, 175397, 175715, 175866, 176060, 176273, 176749, 179063, 179910, 186902, 190573, 190910, 191821, 192053, 192993, 193552, 195589, 196300, 196721, 198078, 202689, 203206, 203458, 203704, 205403, 209503, 209953, 209992, 213367, 214320, 214353, 214688, 214717, 215131, 215475, 216454, 217509, 217629, 245750, 246970, 248304, 248339, 249790, 250053, 250575, 250658, 250738, 251425, 251511, 253856, 253968, 255043, 258715, 258736, 261083, 265156, 265375, 267405, 267880, 270738, 270892, 280629, 280919, 282575, 284185, 284622, 289393, 299202, 306915, 307789, 310629, 310895, 319178, 321457, 322133, 323322, 326852, 326909, 327045, 328907, 328966, 330622, 339221, 360660])
injunction|(1, [340986])
science|(31, [17877, 18084, 51665, 59353, 62657, 71522, 71815, 72086, 77021, 80399, 86935, 87020, 93274, 102490, 116497, 150106, 164936, 170742, 190309, 226866, 247040, 247691, 272881, 277807, 307245, 307254, 310725, 312963, 319098, 319106, 355690])
notin|(1, [23155])
rider|(6, [282093, 282848, 283431, 284236, 284820, 284940])
infancy|(7, [52186, 112120, 117170, 160212, 163423, 253306, 310706])
touche|(1, [115836])
help|(11, [37271, 138112, 178305, 178839, 207547, 242873, 261282, 301970, 333684, 335219, 340118])
male|(6, [55547, 61320, 109561, 220642, 258271, 261311])
physiologist|(1, [278147])
contrivance|(6, [10579, 18998, 25234, 205870, 249511, 350188])
discrimination|(1, [309284])
noise|(35, [9686, 11618, 14758, 14991, 27368, 36051, 77574, 84300, 90627, 91364, 91639, 96529, 96804, 99400, 121627, 121904, 123150, 128504, 141109, 168606, 169029, 169619, 169758, 188073, 193262, 193985, 199018, 200731, 236982, 250851, 289317, 301227, 327334, 337427, 348409])
hazel|(2, [135020, 333924])
cease|(2, [35345, 250943])
velvet|(9, [81276, 124797, 125491, 126467, 154406, 155408, 157465, 167324, 199617])
ambuscade|(1, [233450])
diffident|(1, [2454])
distemper|(1, [249902])
monotone|(1, [357477])
havoc|(2, [236669, 237656])
foothold|(2, [143715, 184107])
point|(207, [5437, 6258, 6555, 6710, 8118, 11531, 14219, 15095, 15768, 15892, 17613, 17619, 18671, 19189, 19405, 20254, 21390, 21500, 24472, 26887, 27909, 27948, 30598, 32661, 33367, 33429, 33584, 33932, 34253, 34287, 34292, 34392, 34600, 34767, 40664, 44826, 45546, 46396, 46620, 47283, 48288, 49152, 52393, 52575, 53283, 54806, 54909, 56607, 56613, 57083, 57326, 59940, 60073, 60190, 60461, 61405, 62074, 63319, 64275, 64568, 66134, 67101, 68806, 69262, 69374, 69795, 74463, 76269, 76757, 78090, 82590, 83902, 87211, 87960, 88489, 90478, 91964, 92275, 96377, 97601, 98174, 100071, 102026, 106472, 106795, 108124, 109369, 109435, 110849, 112388, 114969, 126692, 126797, 128076, 131522, 132485, 138964, 139428, 139493, 145592, 150302, 151366, 151555, 151582, 152799, 153854, 155698, 156206, 156326, 156727, 157005, 157144, 157387, 157700, 157902, 157924, 161765, 162386, 163467, 167961, 180536, 186289, 192702, 194605, 198942, 201078, 201233, 201477, 214152, 219599, 220949, 220989, 221560, 223656, 223714, 226612, 229136, 235968, 236909, 237542, 237779, 239508, 241742, 242038, 244656, 245348, 246204, 247031, 247639, 249506, 254171, 254658, 257186, 257504, 258824, 259968, 262971, 263465, 264104, 264220, 272221, 273106, 274768, 279454, 280142, 282452, 285199, 286370, 289207, 293465, 299914, 301711, 304104, 307442, 308164, 312603, 313239, 313377, 316922, 319963, 321760, 321964, 322095, 323206, 324483, 325439, 325639, 326634, 327244, 329828, 331615, 333690, 334354, 334698, 338323, 343298, 343337, 343371, 346085, 349084, 350085, 350176, 354676, 355492, 355499, 356664, 359435])
intelligibility|(1, [309708])
non-appearance|(2, [83013, 146614])
load|(6, [79140, 93903, 148971, 194678, 194740, 194796])
vrow|(1, [277102])
pretext|(1, [199315])
scarabaeus|(1, [29964])
averse|(1, [55567])
antro|(1, [137772])
driftwood|(1, [225577])
embrace|(6, [100734, 142927, 146231, 173884, 182682, 358267])
courtesy|(8, [38918, 115524, 159027, 285139, 285564, 303078, 308543, 325250])
topsiturviness|(1, [298872])
s-head|(10, [22490, 22825, 29406, 29580, 30973, 31068, 31225, 31418, 31849, 33264])
conger|(1, [230183])
remissness|(1, [63628])
division|(17, [19227, 32293, 33335, 33377, 33473, 33519, 60033, 62337, 150261, 156749, 158210, 160903, 191920, 192806, 243829, 342192, 346986])
pitcher|(13, [13032, 13046, 13105, 13132, 13174, 13186, 13304, 139627, 140321, 140900, 192585, 193026, 256309])
sleeping-place|(1, [191840])
spread|(5, [25438, 40861, 119255, 173807, 237406])
ornament|(1, [346907])
ridge|(5, [97061, 99822, 158625, 203745, 276393])
flavour|(1, [236868])
ware|(1, [3193])
trunk|(22, [25481, 25548, 25734, 25964, 26890, 27912, 34256, 104004, 104022, 104068, 104118, 132773, 158492, 209172, 209464, 230567, 330815, 349820, 350922, 350932, 351012, 351071])
claimant|(1, [311524])
wood|(43, [4420, 13014, 13055, 26225, 26593, 28299, 43170, 48457, 72488, 73897, 79736, 79792, 93992, 94034, 106252, 121633, 140832, 142703, 155349, 155352, 157271, 200339, 202794, 203406, 205279, 205780, 212055, 212270, 226423, 227508, 227912, 228752, 232655, 235202, 237076, 237622, 237827, 238119, 275321, 285327, 344737, 345466, 346421])
purloiner|(1, [316795])
cylindrical|(1, [101213])
incoherent|(4, [48208, 137680, 293544, 317863])
barometer|(8, [3148, 5694, 6273, 8018, 8547, 11189, 14066, 74435])
penetration|(2, [162808, 330069])
bismuth|(1, [104378])
swan|(1, [154161])
visitarem|(2, [169876, 172802])
peculiarity|(20, [19450, 35913, 44977, 45011, 60274, 60283, 60509, 111030, 112187, 136348, 145997, 158673, 162395, 213722, 246820, 269436, 269442, 273468, 333978, 353602])
radiation|(2, [118666, 353139])
advancement|(1, [354672])
storm|(13, [68842, 96407, 96626, 98247, 120854, 121054, 121734, 122746, 148794, 176854, 212191, 248540, 327663])
self-suggestion|(1, [131108])
analysis|(25, [32257, 37710, 37869, 38245, 38723, 62552, 69185, 79246, 85949, 86833, 102185, 104398, 104532, 108098, 116130, 129614, 151254, 170993, 343181, 348723, 348795, 350052, 354626, 354652, 354722])
scaly|(1, [121787])
clue|(2, [52784, 89310])
light-looking|(1, [157258])
amazement|(17, [15535, 15773, 28492, 40180, 78413, 121905, 136890, 136917, 164534, 183098, 228036, 228158, 251201, 255521, 260778, 270142, 315764])
root|(7, [213935, 229671, 230538, 244965, 244968, 245047, 357557])
feeding|(1, [112183])
flow|(3, [119277, 173565, 192382])
blaze|(3, [22020, 30808, 316137])
love|(58, [36132, 56684, 65909, 82148, 112249, 124641, 128857, 128872, 131520, 136675, 144987, 149655, 166890, 171672, 173740, 174203, 174377, 175083, 175296, 248145, 248245, 249743, 251962, 252057, 253199, 253647, 258096, 259235, 259312, 259363, 259367, 260611, 260862, 260875, 260955, 261911, 262594, 262805, 262918, 262924, 263792, 264163, 266909, 279065, 279124, 282315, 288635, 304327, 316520, 324000, 326166, 326170, 326183, 328178, 341573, 355349, 355577, 357548])
meerschaum|(4, [82364, 84036, 85098, 317037])
corroborative|(1, [62512])
gewohulich|(1, [51483])
dwelling-place|(1, [356540])
bon|(4, [161529, 272783, 315521, 323419])
stove|(1, [180658])
roaring|(6, [233, 80966, 178310, 197151, 200735, 284898])
quasi|(2, [266493, 274816])
scratch|(2, [336732, 336837])
foot|(67, [4645, 10647, 25388, 27773, 33835, 49064, 50263, 52723, 54065, 55927, 56269, 60296, 62113, 66554, 67941, 72560, 72780, 77557, 92003, 98481, 98685, 123713, 124995, 125624, 125973, 127342, 127674, 127685, 137162, 141270, 155815, 158503, 158936, 164404, 166541, 177756, 181933, 189037, 189097, 191113, 191929, 196006, 200410, 202320, 206279, 213800, 220587, 223610, 225497, 227115, 234571, 236630, 240107, 249477, 255204, 255954, 260586, 269276, 273566, 288105, 290548, 304694, 306995, 311854, 315994, 316266, 323941])
proneness|(1, [147636])
par|(5, [19958, 19967, 86754, 289199, 335678])
hxw|(2, [281353, 281499])
font|(1, [253749])
rise|(16, [4811, 18194, 20992, 70799, 96735, 104713, 111583, 140711, 144238, 190160, 260342, 263079, 274235, 282121, 307551, 354331])
blow|(18, [46463, 114189, 114676, 114692, 189062, 189326, 189367, 190921, 201908, 202292, 202346, 219003, 219158, 226129, 241262, 241425, 327511, 327715])
march|(4, [1929, 325683, 334688, 334797])
whaling-ship|(2, [177348, 177412])
thicket|(30, [56009, 56083, 56513, 56573, 65029, 65033, 65131, 65258, 65308, 65631, 65657, 66027, 66057, 66227, 66253, 66282, 66402, 67047, 67073, 67365, 67447, 67773, 68039, 68245, 68360, 68569, 68574, 68585, 68598, 69210])
describe|(2, [142405, 349217])
playing|(4, [38389, 87841, 353173, 353777])
book|(36, [2328, 19931, 20319, 20759, 20880, 38376, 81368, 84632, 93727, 105314, 119913, 121379, 170839, 172774, 185621, 186325, 186406, 228373, 278868, 301674, 301737, 308829, 309026, 309496, 309628, 311519, 311640, 311750, 311763, 319896, 333524, 344998, 345068, 345204, 348487, 348511])
spring-house|(1, [158831])
sting|(2, [162961, 267137])
phantasy|(2, [27126, 249386])
marlin-spike|(1, [271556])
drug|(1, [249775])
turba|(1, [137758])
azimuth|(4, [224250, 225200, 225611, 225800])
vow|(8, [89570, 89597, 89797, 90074, 90272, 174411, 174468, 174551])
neighbourhood|(4, [224539, 236996, 267873, 268399])
perfection|(14, [38288, 85558, 94806, 106946, 108020, 137135, 151411, 159111, 246597, 310743, 334022, 354718, 354891, 354928])
moisture|(5, [3943, 8583, 17602, 73772, 127786])
multiplicity|(1, [37477])
clever|(1, [278979])
reviving|(1, [178724])
beheld|(1, [13982])
craggy|(1, [96756])
impropriety|(1, [260713])
declivity|(7, [155819, 156521, 157336, 229162, 237055, 238308, 239875])
mattress|(12, [181287, 183146, 183200, 184660, 186890, 187147, 187216, 187686, 191733, 191803, 200830, 201790])
dart|(2, [314079, 314119])
lest|(1, [205374])
superabundance|(2, [150264, 342195])
abuse|(2, [41539, 297102])
bank|(9, [56311, 132458, 154349, 154380, 154492, 157132, 229721, 234342, 256753])
rougher|(1, [241760])
melancholy|(11, [21623, 118581, 132272, 137126, 171947, 179479, 209584, 249257, 253479, 254285, 284118])
curmudgeon|(1, [272653])
originator|(1, [332336])
cup|(3, [12133, 254946, 270158])
accident|(70, [4269, 5672, 12093, 21581, 30484, 30713, 31354, 31547, 31572, 38989, 40021, 60783, 62754, 67092, 67522, 67528, 67537, 69194, 74804, 76072, 76516, 77794, 88116, 90234, 97778, 109600, 112573, 140087, 153487, 161977, 164714, 177080, 178641, 178748, 179321, 181508, 182412, 183832, 184070, 184978, 195461, 217357, 227920, 229468, 240406, 243443, 244448, 251981, 257860, 257954, 266761, 278097, 288937, 297876, 298714, 304088, 314270, 315908, 316273, 316414, 316546, 317654, 327627, 327924, 329217, 330526, 330748, 332618, 337387, 338986])
remnant|(7, [38931, 114546, 139836, 141692, 142542, 183526, 214650])
clause|(1, [340923])
redresser|(1, [126724])
iron|(40, [1964, 5068, 7808, 28268, 28349, 28376, 41042, 43177, 50779, 77396, 92888, 93865, 93955, 106688, 120262, 120443, 122510, 124417, 128248, 140669, 141854, 143035, 143277, 143550, 143640, 144623, 144649, 147818, 160775, 160782, 184579, 203324, 225148, 237437, 245319, 268332, 287171, 304754, 305473, 360492])
epigram|(4, [57396, 57428, 132234, 267140])
slumbering|(1, [356645])
eyeglass|(3, [258645, 260168, 267123])
credence|(1, [190294])
universe|(17, [80694, 118661, 132075, 138211, 146800, 161532, 170822, 247131, 255411, 266329, 294688, 309828, 317005, 321102, 354034, 354250, 354775])
striking|(1, [277434])
personage|(17, [83120, 83140, 83214, 83231, 83308, 83403, 83468, 88476, 89222, 269162, 270013, 272891, 276489, 288101, 288636, 314470, 333734])
satin-wood|(1, [154172])
locust|(1, [156501])
condensation|(6, [3589, 6907, 10735, 15141, 17084, 119700])
equerry|(1, [283344])
resemblance|(31, [5733, 22816, 30115, 33852, 36289, 46499, 52162, 56408, 82122, 155378, 162618, 171333, 213848, 213921, 219516, 219891, 226350, 226458, 229168, 238976, 239622, 244771, 245028, 253186, 253470, 257888, 266687, 307941, 322188, 331345, 351187])
oh|(2, [272366, 358750])
mischief|(4, [71094, 166755, 268139, 268437])
platform|(6, [25338, 234798, 235017, 237163, 238082, 238599])
vulgar|(4, [22636, 136299, 161949, 299655])
framework|(8, [72508, 72579, 140830, 142474, 208680, 213171, 232715, 242892])
harmless|(2, [120107, 289647])
heedlessness|(1, [195421])
expenditure|(2, [164802, 287262])
cock|(1, [280566])
poh|(1, [280492])
hum|(5, [90687, 137863, 143762, 255913, 318972])
wrist|(9, [5178, 53871, 53895, 147222, 147366, 147532, 204759, 215750, 259147])
whippersnapper|(1, [329115])
remuneration|(2, [294839, 294900])
asthma|(1, [105084])
regard|(71, [7425, 14881, 16397, 19584, 20744, 25115, 34224, 38617, 41386, 44949, 45004, 51855, 53439, 60216, 62476, 64827, 67217, 70849, 79292, 87016, 89288, 96820, 102822, 104699, 108878, 112545, 118142, 118164, 131827, 150322, 161035, 163271, 164707, 178947, 179765, 189666, 190797, 198282, 221229, 223814, 226763, 228023, 228461, 229301, 229312, 231875, 239821, 243019, 243315, 244966, 245109, 247591, 252680, 254196, 258575, 260943, 274732, 282508, 284307, 297224, 297867, 304993, 306854, 321895, 325948, 330895, 335792, 348787, 355577, 358899, 359540])
tangent|(3, [272907, 336550, 337570])
perticcler|(1, [281117])
pomposity|(2, [308904, 334271])
thirty|(17, [6173, 6231, 20123, 29170, 35062, 35381, 52942, 75973, 92613, 124669, 140949, 141834, 156650, 179133, 236496, 242081, 286829])
nest|(1, [220606])
ran|(2, [235102, 241644])
requisite|(2, [47030, 300924])
loathsome|(1, [111949])
eau|(1, [333563])
seam|(2, [234433, 234627])
intruder|(4, [126251, 165832, 314410, 315108])
drunken|(2, [18374, 189660])
s-maid|(1, [328874])
climax|(1, [291397])
generation|(2, [58922, 59124])
circumjacent|(1, [10711])
begin|(1, [355497])
entombed|(1, [249720])
disaster|(10, [23100, 113244, 144028, 178895, 179537, 186620, 208399, 302388, 328667, 329734])
improvement|(11, [62714, 150336, 151022, 151362, 299824, 320609, 342923, 343294, 343318, 351271, 355620])
master|(31, [23117, 23217, 23603, 24981, 25377, 27112, 27545, 27690, 27738, 27748, 28225, 28625, 35947, 50344, 51009, 51413, 83702, 117094, 117236, 118683, 152670, 160349, 161722, 163036, 262330, 262385, 280286, 283512, 284589, 311303, 337041])
skeleton|(6, [140722, 144508, 182765, 268930, 270163, 271847])
heaviness|(1, [360749])
beach|(11, [21509, 21643, 76421, 77326, 221517, 237440, 237782, 241700, 241898, 243992, 328622])
sangsue|(1, [257907])
brook|(5, [157711, 158474, 158843, 159437, 229018])
crossing|(1, [76490])
meantime|(49, [405, 1473, 2054, 3113, 7485, 9134, 10135, 36247, 50597, 78422, 80861, 88826, 89522, 98204, 108325, 112796, 124477, 168462, 178252, 179755, 182347, 201922, 211640, 237331, 255335, 258803, 259917, 261674, 263385, 265212, 270441, 281006, 283011, 287477, 290223, 290842, 294746, 298065, 304085, 313768, 314888, 315833, 323698, 326288, 327843, 328307, 330907, 331841, 336324])
posteriori|(3, [45979, 129446, 319267])
pinxit|(1, [331787])
glancing|(1, [40328])
chrysalis|(1, [247229])
armory|(1, [170069])
etudier|(1, [262140])
drinking|(4, [180872, 209071, 270157, 307651])
tribe|(9, [22026, 104768, 189814, 220809, 246799, 254329, 261235, 322490, 322794])
implicit|(1, [167016])
supper|(1, [21948])
consideration|(46, [4165, 8665, 12412, 12516, 15747, 16965, 17855, 24518, 32181, 46011, 46390, 46849, 61949, 69341, 69460, 72217, 79275, 87043, 99639, 104363, 106330, 106498, 106569, 120025, 128988, 131854, 144251, 174337, 191329, 193551, 201372, 203650, 213354, 216785, 252571, 254543, 268381, 269787, 270867, 271011, 302880, 308573, 315923, 331238, 333266, 350617])
ten|(15, [32012, 33142, 38035, 62053, 109177, 154429, 174033, 206039, 219693, 255128, 277705, 291424, 317318, 317448, 338003])
rope|(53, [35956, 53886, 53928, 68409, 73734, 73830, 73854, 73918, 73937, 73995, 74018, 74048, 75109, 113406, 147913, 177189, 178499, 178505, 178689, 183362, 191498, 192542, 193000, 195815, 204767, 204780, 204851, 205123, 205795, 205910, 205957, 206110, 206265, 207725, 207957, 209663, 209714, 209874, 213208, 214175, 216743, 217076, 226153, 240049, 240439, 240454, 240942, 270169, 328293, 328430, 346402, 347313, 351387])
old|(2, [274487, 337259])
gullibility|(1, [314183])
cartel|(2, [297318, 309181])
starvation|(2, [139308, 217097])
refusing|(1, [103564])
owner|(12, [48924, 51222, 69938, 83381, 218323, 267817, 269761, 283265, 284318, 295963, 311619, 312579])
diplomatist|(1, [144771])
acceleration|(2, [11393, 216676])
ledge|(15, [33806, 33823, 33992, 34401, 144547, 156183, 157665, 158921, 221658, 226336, 226356, 229822, 229916, 239919, 240028])
vibration|(10, [59166, 77449, 107581, 135441, 141642, 141788, 142089, 184187, 354485, 354488])
induction|(2, [49089, 129443])
showy|(1, [157409])
behaving|(1, [165872])
priceless|(1, [264406])
violence|(48, [4515, 8871, 9368, 15225, 41151, 54028, 54709, 58150, 59269, 59435, 59533, 59901, 64751, 77946, 78040, 78289, 78914, 91356, 96613, 96674, 112516, 112643, 113022, 115187, 121248, 123784, 130090, 147547, 163352, 166284, 171350, 182962, 183589, 195354, 198086, 199094, 203197, 203412, 203951, 218853, 218970, 225025, 225343, 250722, 291083, 308668, 316141, 327856])
ether|(20, [106271, 106312, 106381, 106410, 106421, 106425, 106662, 106683, 106725, 106728, 106755, 106762, 106822, 107585, 107713, 107722, 145954, 354741, 354968, 360359])
resplendent|(1, [298694])
cleft|(2, [156309, 234679])
dismal|(1, [183977])
growl|(5, [22379, 187273, 187565, 202070, 280577])
click-clak|(2, [305695, 305699])
shirt|(6, [12145, 199979, 200055, 207749, 240426, 338484])
bight|(1, [236072])
inquiry|(17, [33550, 43834, 46610, 52428, 62443, 62585, 62830, 62916, 63397, 69898, 102502, 105235, 164640, 310906, 329777, 334920, 335073])
inopportuneness|(1, [104526])
pinched|(1, [144389])
wast|(1, [136653])
iris|(1, [111636])
rattling|(2, [121717, 255567])
precise|(2, [26867, 244915])
perfect|(2, [174318, 335461])
descendant|(1, [160189])
bill|(16, [207773, 219844, 232141, 310866, 311056, 311338, 311372, 313200, 313246, 313661, 330690, 330849, 338341, 338742, 340951, 345369])
exploration|(1, [140502])
coating|(2, [3344, 31713])
punishment|(2, [51039, 293720])
friendless|(1, [146828])
hark|(2, [36421, 169838])
flush|(1, [98370])
opera-glass|(5, [259664, 259707, 259709, 259721, 339564])
ballast|(26, [1336, 3675, 4361, 7913, 8295, 8496, 8677, 8818, 9352, 17150, 73379, 73442, 73610, 73618, 73793, 73879, 73902, 75092, 75792, 77932, 185108, 194615, 195100, 202905, 202948, 271189])
snuff|(4, [41474, 276652, 288478, 340213])
biche|(10, [228431, 228659, 231110, 231243, 231700, 231879, 231920, 232335, 232534, 232671])
probing|(1, [86297])
mem|(1, [76003])
foresail|(10, [98451, 195566, 196979, 198079, 198825, 198861, 198866, 198896, 203095, 225091])
recognition|(4, [54045, 54184, 61247, 261650])
investiture|(2, [107078, 107152])
omniprevalence|(1, [106184])
vermicular|(1, [257866])
pipe|(16, [381, 1447, 17993, 82659, 84928, 126987, 127004, 127378, 275653, 275795, 276283, 277325, 316984, 346327, 346589, 347404])
self-satisfaction|(2, [267811, 276661])
singer|(1, [263810])
autobiography|(1, [337809])
algebra|(1, [86967])
justification|(2, [166749, 333356])
lying-to|(4, [194960, 198728, 199035, 199203])
comprehension|(15, [18241, 38295, 39794, 43784, 47214, 82640, 107521, 107571, 130036, 172598, 271647, 293385, 296641, 321972, 337217])
deer|(2, [157487, 157607])
moaning|(4, [95919, 122703, 128457, 357388])
cell|(7, [114253, 130589, 141107, 143098, 143345, 143480, 286463])
offering|(2, [137341, 246217])
duellist|(2, [308020, 308765])
diplomacy|(1, [83085])
limit|(12, [6625, 6668, 6695, 11181, 14252, 19661, 19670, 27477, 58091, 160597, 239032, 350203])
approach|(15, [1187, 16975, 16981, 36209, 112844, 126274, 151140, 153311, 154613, 171683, 227256, 230947, 330543, 343034, 359218])
befitting|(1, [119336])
canister|(2, [3468, 233078])
receptacle|(1, [332243])
regular|(1, [246412])
sum|(21, [42251, 42255, 47438, 51232, 52803, 52853, 52953, 87072, 150014, 165891, 175526, 263126, 296269, 302872, 304292, 310848, 311619, 312219, 313490, 340505, 341937])
architect|(2, [339102, 356376])
hovel|(1, [339110])
training|(1, [20169])
lesson|(3, [142988, 144985, 321395])
perusal|(10, [2868, 17977, 56706, 81297, 83219, 84885, 97017, 119906, 309419, 348764])
cul-de-sac|(1, [239579])
drew|(4, [53626, 115898, 198079, 204446])
fiddlestick|(1, [337862])
